,n,p,k,abess_accuracy,GraHTP_accuracy,GraHTP_cv_accuracy,abess_time,GraHTP_time,GraHTP_cv_time,min_step_size
0,200,200,20,0.7,0.45,0.75,7.713288307189941,8.934952020645142,344.2490015029907,0.002
1,400,200,20,0.85,0.2,0.85,8.949575185775757,12.372040748596191,244.54118990898132,0.001
2,300,200,20,0.85,0.25,0.85,3.781527519226074,11.138474941253662,314.5684914588928,0.001
3,550,200,20,0.95,0.1,0.95,17.60580015182495,45.38150715827942,311.56107926368713,0.0005
4,750,200,20,0.85,0.15,0.85,13.93270754814148,22.768332958221436,426.2996904850006,0.002
5,650,200,20,0.9,0.2,0.9,12.532591342926025,20.62697720527649,165.60308170318604,0.002
6,800,200,20,0.9,0.15,0.85,27.04628872871399,44.65667772293091,329.3491759300232,0.001
7,350,200,20,0.9,0.4,0.9,8.507513999938965,24.724684238433838,298.6967272758484,0.002
8,100,200,20,0.65,0.65,0.65,8.307813167572021,18.568341970443726,94.17335391044617,0.005
9,250,200,20,0.8,0.25,0.85,22.918704509735107,7.188320636749268,156.17496037483215,0.002
10,150,200,20,0.8,0.45,0.8,17.144788026809692,25.00110960006714,258.4067885875702,0.004
11,450,200,20,0.95,0.35,0.8,11.175002813339233,17.532175302505493,310.89917612075806,0.002
12,600,200,20,0.9,0.15,0.85,10.157741069793701,31.506689071655273,419.8535509109497,0.001
13,500,200,20,0.95,0.35,0.9,2.332578182220459,9.297883033752441,253.1182942390442,0.0005
14,700,200,20,0.8,0.1,0.8,5.817205190658569,17.41462278366089,262.57814955711365,0.001
15,200,200,20,0.7,0.45,0.75,15.039883136749268,34.84029817581177,223.63347268104553,0.002
16,400,200,20,0.85,0.2,0.85,10.163049697875977,21.311624765396118,267.47909712791443,0.001
17,300,200,20,0.85,0.25,0.85,16.96591591835022,29.40776038169861,329.83785605430603,0.001
18,550,200,20,0.95,0.1,0.95,20.982575178146362,16.004730939865112,380.4485671520233,0.0005
19,750,200,20,0.85,0.15,0.85,25.612995386123657,19.169139862060547,198.52773785591125,0.002
20,650,200,20,0.9,0.2,0.9,6.880812883377075,12.095304250717163,174.9595947265625,0.002
21,800,200,20,0.9,0.15,0.85,14.979889869689941,6.205655336380005,422.6166121959686,0.001
22,350,200,20,0.9,0.4,0.9,6.8206987380981445,17.693402528762817,268.66651010513306,0.002
23,100,200,20,0.65,0.65,0.65,10.981687784194946,1.1470685005187988,122.68576884269714,0.005
24,250,200,20,0.8,0.25,0.85,21.684509992599487,28.35448956489563,263.3587555885315,0.002
25,150,200,20,0.8,0.45,0.8,6.688594341278076,11.098320007324219,104.95970964431763,0.004
26,450,200,20,0.95,0.35,0.8,5.9394590854644775,16.000359535217285,251.02255415916443,0.002
27,600,200,20,0.9,0.15,0.85,4.487760782241821,13.434143543243408,267.124009847641,0.001
28,500,200,20,0.95,0.35,0.9,3.872246742248535,28.675843238830566,198.24880266189575,0.0005
29,700,200,20,0.8,0.1,0.8,20.541330337524414,23.86432409286499,256.2805886268616,0.001
30,200,200,20,0.7,0.45,0.75,26.827213048934937,13.436299085617065,203.989901304245,0.002
31,400,200,20,0.85,0.2,0.85,15.87665843963623,17.438709497451782,211.1924970149994,0.001
32,300,200,20,0.85,0.25,0.85,5.6243109703063965,20.690866947174072,271.722736120224,0.001
33,550,200,20,0.95,0.1,0.95,5.533437967300415,32.82799577713013,256.27770924568176,0.0005
34,750,200,20,0.85,0.15,0.85,25.444011926651,17.694223403930664,311.5745646953583,0.002
35,650,200,20,0.9,0.2,0.9,2.804227352142334,5.635468482971191,279.1337032318115,0.002
36,800,200,20,0.9,0.15,0.85,16.530908823013306,33.91648817062378,234.5291666984558,0.001
37,350,200,20,0.9,0.4,0.9,12.816709280014038,29.142073154449463,312.76515221595764,0.002
38,100,200,20,0.65,0.65,0.65,14.66331696510315,18.247663259506226,119.10376381874084,0.005
39,250,200,20,0.8,0.25,0.85,3.381871223449707,12.216761350631714,214.52634239196777,0.002
40,150,200,20,0.7,0.3,0.65,7.874230861663818,13.797738790512085,171.79253482818604,0.004
41,450,200,20,0.9,0.3,0.9,9.203940153121948,16.616997480392456,221.0902760028839,0.0005
42,600,200,20,1.0,0.15,0.95,5.547727823257446,16.166995525360107,151.1497209072113,0.001
43,500,200,20,0.9,0.25,0.9,14.163305521011353,35.295743227005005,121.25470733642578,0.001
44,700,200,20,1.0,0.15,1.0,4.580801010131836,5.287906646728516,165.504789352417,0.0005
45,200,200,20,0.85,0.45,0.85,9.609118461608887,31.949682474136353,219.6915442943573,0.003
46,400,200,20,0.85,0.35,0.85,21.57178783416748,18.63583016395569,192.2774531841278,0.001
47,300,200,20,1.0,0.25,1.0,8.01425313949585,18.878040075302124,232.76007556915283,0.002
48,550,200,20,0.95,0.25,0.95,8.616418361663818,16.336570978164673,242.17171907424927,0.002
49,750,200,20,0.9,0.1,0.9,9.546353816986084,22.398550510406494,244.6776204109192,0.0005
50,650,200,20,0.9,0.15,0.9,9.137138605117798,5.6563401222229,254.92289447784424,0.001
51,800,200,20,0.85,0.25,0.85,14.856933116912842,15.530137300491333,224.69594717025757,0.0005
52,350,200,20,0.9,0.3,0.9,7.885033130645752,25.009224891662598,232.50769662857056,0.001
53,100,200,20,0.7,0.6,0.7,12.641991376876831,37.24279165267944,113.37323641777039,0.006
54,250,200,20,1.0,0.3,1.0,26.7207350730896,9.29643177986145,152.17658829689026,0.001
55,150,200,20,0.7,0.55,0.7,8.575188159942627,34.38732194900513,142.87536811828613,0.002
56,450,200,20,0.85,0.3,0.85,6.40432596206665,21.38410234451294,120.30764865875244,0.001
57,600,200,20,0.9,0.3,0.9,2.597886323928833,24.47050905227661,226.4850845336914,0.001
58,500,200,20,0.85,0.2,0.85,13.05446743965149,34.49277138710022,240.29353642463684,0.002
59,700,200,20,0.8,0.35,0.8,17.332809686660767,8.153189182281494,246.28830122947693,0.001
60,200,200,20,0.8,0.35,0.75,11.655981540679932,9.994701862335205,196.55313920974731,0.003
61,400,200,20,0.85,0.35,0.85,4.845998048782349,19.6405611038208,159.1916046142578,0.001
62,300,200,20,0.85,0.4,0.85,16.810912132263184,20.334226608276367,208.555593252182,0.001
63,550,200,20,0.75,0.2,0.75,9.592927694320679,10.52884578704834,247.61976838111877,0.001
64,750,200,20,0.9,0.25,0.9,2.669185161590576,36.954237937927246,250.3481948375702,0.0005
65,650,200,20,0.95,0.25,0.95,1.70222806930542,5.407815456390381,202.78824758529663,0.002
66,800,200,20,0.95,0.25,1.0,7.183021545410156,30.215413093566895,227.577068567276,0.0005
67,350,200,20,0.8,0.3,0.8,4.83615255355835,6.383110284805298,153.35069966316223,0.002
68,100,200,20,0.75,0.45,0.75,15.854015827178955,26.080952882766724,174.4524703025818,0.006
69,250,200,20,0.9,0.5,0.9,2.472696304321289,2.7183706760406494,185.6215705871582,0.002
70,150,200,20,0.85,0.5,0.85,12.772729635238647,7.463387727737427,209.8180592060089,0.004
71,450,200,20,0.95,0.25,0.95,5.896130084991455,31.33498477935791,174.7747666835785,0.001
72,600,200,20,0.95,0.25,0.95,8.013828992843628,10.532335758209229,149.09552216529846,0.001
73,500,200,20,0.95,0.2,0.95,17.990612745285034,25.553889513015747,187.02336740493774,0.001
74,700,200,20,0.95,0.15,0.95,7.8219780921936035,13.52329397201538,187.92693781852722,0.001
75,200,200,20,0.8,0.3,0.8,12.925143480300903,12.135181665420532,193.55825400352478,0.003
76,400,200,20,0.85,0.45,0.85,15.365403890609741,39.09019422531128,226.05306148529053,0.001
77,300,200,20,0.9,0.35,0.9,6.169923782348633,13.499969244003296,263.85279655456543,0.002
78,550,200,20,0.85,0.15,0.85,13.586780309677124,5.410094976425171,214.83450603485107,0.001
79,750,200,20,0.95,0.1,0.95,5.77512788772583,11.465425491333008,165.35424971580505,0.0005
80,650,200,20,0.9,0.15,0.9,18.99398922920227,7.361922264099121,296.0170273780823,0.001
81,800,200,20,0.9,0.2,0.95,4.236137390136719,19.509151458740234,168.9210753440857,0.0005
82,350,200,20,0.8,0.3,0.75,8.448940753936768,7.3209779262542725,207.99156379699707,0.001
83,100,200,20,0.7,0.5,0.7,9.837807178497314,36.360496044158936,207.08179092407227,0.005
84,250,200,20,0.7,0.35,0.7,12.106013298034668,20.2278311252594,203.78181385993958,0.002
85,150,200,20,0.8,0.5,0.8,8.64584994316101,8.0719575881958,105.58445882797241,0.003
86,450,200,20,0.8,0.15,0.8,12.075252532958984,21.552634954452515,143.41982316970825,0.001
87,600,200,20,0.85,0.3,0.9,5.231659889221191,14.074771165847778,170.3407793045044,0.0005
88,500,200,20,0.95,0.35,0.95,15.893149375915527,25.917027473449707,196.19964051246643,0.001
89,700,200,20,0.9,0.05,0.9,1.9910151958465576,17.782605171203613,118.71958684921265,0.001
90,200,200,20,0.9,0.45,0.9,6.087219715118408,18.4203622341156,194.54158067703247,0.003
91,400,200,20,0.95,0.25,0.9,8.173357009887695,11.50358533859253,131.97051000595093,0.001
92,300,200,20,0.85,0.3,0.85,9.317051410675049,5.256697416305542,181.6974413394928,0.002
93,550,200,20,0.9,0.25,0.9,14.604527235031128,12.005658864974976,138.40109419822693,0.001
94,750,200,20,0.85,0.35,0.9,12.296316623687744,19.616824865341187,186.39636945724487,0.001
95,650,200,20,0.95,0.3,0.95,11.86105465888977,8.841434001922607,177.3663456439972,0.001
96,800,200,20,0.9,0.15,0.9,7.822991609573364,10.704281568527222,195.1119794845581,0.001
97,350,200,20,0.9,0.3,0.9,9.997983932495117,12.501510381698608,157.5185103416443,0.001
98,100,200,20,0.6,0.45,0.6,22.520036935806274,10.540678977966309,103.48025631904602,0.003
99,250,200,20,0.9,0.4,0.9,4.211654424667358,11.59819746017456,165.04852294921875,0.002
100,150,200,20,0.9,0.45,0.9,5.111042261123657,17.75580668449402,87.33360457420349,0.004
101,450,200,20,0.85,0.25,0.85,8.313302516937256,29.469277381896973,179.40261149406433,0.001
102,600,200,20,0.9,0.25,0.9,10.812716960906982,15.381291389465332,164.13069677352905,0.0005
103,500,200,20,0.85,0.25,0.85,10.653849840164185,10.179566383361816,227.39707469940186,0.001
104,700,200,20,0.95,0.15,0.9,4.886775493621826,10.937618255615234,189.7256944179535,0.001
105,200,200,20,0.9,0.5,0.9,19.977331161499023,19.801836252212524,174.422345161438,0.003
106,400,200,20,0.85,0.3,0.85,11.13642430305481,23.8778018951416,178.4770793914795,0.002
107,300,200,20,0.75,0.3,0.8,0.5239973068237305,16.19757342338562,206.6463918685913,0.001
108,550,200,20,0.9,0.2,0.85,4.89050555229187,12.651718139648438,191.353857755661,0.003
109,750,200,20,0.85,0.25,0.85,8.449443578720093,6.596619129180908,206.87170577049255,0.0005
110,650,200,20,0.9,0.3,0.9,7.534315347671509,29.293809413909912,150.5369415283203,0.001
111,800,200,20,0.85,0.15,0.85,9.793321132659912,10.124699592590332,165.88970828056335,0.001
112,350,200,20,0.8,0.15,0.8,8.652275562286377,19.540108919143677,177.1482856273651,0.002
113,100,200,20,0.8,0.7,0.8,10.843827486038208,17.181276082992554,139.3933985233307,0.006
114,250,200,20,1.0,0.45,1.0,2.625648021697998,8.299006223678589,158.1424481868744,0.002
115,150,200,20,0.75,0.45,0.75,11.625409603118896,23.906534910202026,142.99534487724304,0.004
116,450,200,20,0.95,0.25,0.95,8.62729787826538,11.793803930282593,152.1195089817047,0.003
