,n,p,k,seed,abess_accuracy,abess_time
0,220,20,40,9,0.6,43.48865628242493
1,300,20,40,9,0.925,45.442670822143555
2,100,20,40,0,0.775,13.750824213027954
3,60,20,40,6,0.45,12.920796394348145
4,80,20,40,7,0.55,18.297713041305542
5,160,20,40,6,0.825,28.517523527145386
6,180,20,40,7,0.825,26.266815185546875
7,240,20,40,6,1.0,42.07999563217163
8,260,20,40,7,0.95,39.27578115463257
9,40,20,40,6,0.425,15.238095998764038
10,380,20,40,2,0.9,53.092463970184326
11,20,20,40,8,0.4,5.5942933559417725
12,80,20,40,2,0.65,18.768430948257446
13,160,20,40,2,0.7,37.888803243637085
14,20,20,40,3,0.275,9.281739473342896
15,200,20,40,6,0.925,36.962623834609985
16,320,20,40,7,0.875,47.503093242645264
17,380,20,40,9,0.95,65.46657800674438
18,280,20,40,6,1.0,40.399332761764526
19,400,20,40,7,0.9,101.19181203842163
20,60,20,40,8,0.575,11.51921558380127
21,360,20,40,6,0.925,63.67473006248474
22,320,20,40,2,1.0,45.11906433105469
23,240,20,40,8,1.0,41.05650973320007
24,40,20,40,8,0.3,3.156914710998535
25,80,20,40,4,0.6,12.850087881088257
26,140,20,40,1,0.85,26.790175199508667
27,160,20,40,9,0.875,25.55180788040161
28,180,20,40,4,0.85,30.667582511901855
29,200,20,40,2,0.95,33.179840087890625
30,220,20,40,1,0.85,34.31717109680176
31,260,20,40,4,0.8,52.37596011161804
32,400,20,40,2,1.0,57.79452037811279
33,280,20,40,2,0.975,39.95992374420166
34,300,20,40,1,0.8,47.8772234916687
35,360,20,40,2,0.875,85.07876324653625
36,320,20,40,9,0.95,41.09654974937439
37,180,20,40,0,0.925,28.691139221191406
38,400,20,40,9,0.925,91.99327969551086
39,320,20,40,4,0.95,47.66612672805786
40,200,20,40,9,0.75,36.26705074310303
41,280,20,40,9,0.75,52.81542778015137
42,120,20,40,4,0.875,19.385324716567993
43,340,20,40,6,0.85,73.09195303916931
44,360,20,40,9,0.8,75.88022041320801
45,380,20,40,1,0.95,46.04938292503357
46,100,20,40,3,0.775,10.669342517852783
47,340,20,40,2,0.975,53.739527225494385
48,120,20,40,0,0.675,23.430156469345093
49,160,20,40,1,0.8,30.042824745178223
50,240,20,40,1,0.875,42.962135791778564
51,40,20,40,1,0.5,4.552783250808716
52,20,20,40,6,0.375,8.00178337097168
53,340,20,40,9,1.0,49.30430054664612
54,100,20,40,5,0.85,13.639089345932007
55,200,20,40,1,0.925,34.436911821365356
56,280,20,40,1,0.875,53.433374881744385
57,140,20,40,4,0.675,29.766505479812622
58,360,20,40,1,0.975,42.769158601760864
59,380,20,40,7,1.0,57.8863422870636
60,20,20,40,2,0.475,6.214251518249512
61,220,20,40,4,0.975,37.67980766296387
62,300,20,40,4,0.925,56.276610136032104
63,60,20,40,7,0.725,12.948765277862549
64,160,20,40,7,0.75,27.166072845458984
65,240,20,40,7,0.9,44.10728144645691
66,40,20,40,7,0.525,12.18730640411377
67,140,20,40,0,0.775,24.289823055267334
68,220,20,40,0,0.775,42.35037922859192
69,20,20,40,9,0.525,5.599663972854614
70,60,20,40,2,0.775,12.184395551681519
71,300,20,40,0,0.95,46.345574617385864
72,240,20,40,2,1.0,35.45215725898743
73,40,20,40,2,0.475,7.0666375160217285
74,200,20,40,7,0.8,38.965672969818115
75,340,20,40,1,0.85,53.179123640060425
76,380,20,40,4,0.975,70.06459832191467
77,100,20,40,6,0.8,23.354164123535156
78,280,20,40,7,0.925,48.23256182670593
79,60,20,40,9,0.55,12.922207355499268
80,360,20,40,7,0.975,55.64562392234802
81,120,20,40,3,0.9,24.386845111846924
82,240,20,40,9,0.95,35.11830496788025
83,40,20,40,9,0.575,6.691079139709473
84,80,20,40,5,0.525,10.98045802116394
85,160,20,40,4,0.75,37.30617809295654
86,180,20,40,5,0.925,30.792277336120605
87,240,20,40,4,1.0,30.262966632843018
88,260,20,40,5,0.95,62.69397807121277
89,40,20,40,4,0.525,4.994255304336548
90,380,20,40,0,0.85,72.89305830001831
91,80,20,40,0,0.6,22.230564832687378
92,260,20,40,0,0.725,33.29047465324402
93,400,20,40,4,1.0,69.0893919467926
94,100,20,40,8,0.775,21.880821228027344
95,20,20,40,1,0.5,2.440777540206909
96,200,20,40,4,0.825,39.10869336128235
97,320,20,40,5,0.975,59.861475706100464
98,280,20,40,4,0.9,40.932570934295654
99,340,20,40,7,0.75,64.73865056037903
100,120,20,40,5,0.85,20.56773543357849
101,360,20,40,4,0.85,65.1729257106781
102,320,20,40,0,0.95,47.09394407272339
103,400,20,40,0,0.95,61.697794914245605
104,200,20,40,0,0.95,30.32376456260681
105,60,20,40,1,0.65,11.163673162460327
106,280,20,40,0,0.9,42.582377672195435
107,140,20,40,3,0.8,26.231938123703003
108,360,20,40,0,0.975,47.79326891899109
109,220,20,40,3,0.65,65.77161145210266
110,300,20,40,3,0.95,59.9178409576416
111,20,20,40,7,0.325,0.9806258678436279
112,340,20,40,4,0.85,61.49486207962036
113,100,20,40,1,0.6,15.240260601043701
114,120,20,40,6,0.775,25.135101318359375
115,140,20,40,5,0.75,25.40480089187622
116,180,20,40,8,0.925,31.07550048828125
117,220,20,40,5,0.95,35.63610911369324
118,260,20,40,8,1.0,33.76128435134888
119,300,20,40,5,0.925,42.7114098072052
120,80,20,40,3,0.725,13.145209312438965
121,180,20,40,3,0.95,24.26688528060913
122,260,20,40,3,0.95,36.551629066467285
123,20,20,40,4,0.3,1.0773234367370605
