,n,seed,model,random_accuracy,random_time,sacrifice_accuracy,sacrifice_time
0,100,10000,Linear,0.08,0.035436153411865234,0.34,0.25601649284362793
1,100,10001,Linear,0.14,1.1196839809417725,0.34,0.26784324645996094
2,100,10002,Linear,0.12,0.4529392719268799,0.28,1.076467514038086
3,100,10003,Linear,0.18,0.5379002094268799,0.34,0.3752410411834717
4,100,10004,Linear,0.12,0.5922031402587891,0.28,1.0627086162567139
5,100,10005,Linear,0.16,0.38760876655578613,0.28,2.217296600341797
6,100,10006,Linear,0.18,0.7123615741729736,0.32,0.6990125179290771
7,100,10007,Linear,0.18,0.2569408416748047,0.24,0.5160219669342041
8,100,10008,Linear,0.08,0.03521227836608887,0.2,0.2787964344024658
9,100,10009,Linear,0.16,1.1536102294921875,0.32,0.5407354831695557
10,100,10010,Classification,0.16,0.5996477603912354,0.28,0.34642624855041504
11,100,10011,Classification,0.04,0.21637916564941406,0.3,0.33951473236083984
12,100,10012,Classification,0.18,0.5748794078826904,0.3,0.21851348876953125
13,100,10013,Classification,0.1,0.21298503875732422,0.2,0.17503881454467773
14,100,10014,Classification,0.14,0.4491584300994873,0.16,0.38492918014526367
15,100,10015,Classification,0.08,0.2512238025665283,0.24,0.29401373863220215
16,100,10016,Classification,0.02,0.17513322830200195,0.28,0.22378039360046387
17,100,10017,Classification,0.06,0.13110136985778809,0.28,0.18214869499206543
18,100,10018,Classification,0.08,0.15939068794250488,0.24,0.24315810203552246
19,100,10019,Classification,0.14,0.05628466606140137,0.2,0.1648273468017578
20,100,10020,Ising,0.9,4.239559650421143,0.85,0.625166654586792
21,100,10021,Ising,0.775,4.686986684799194,0.8,4.28466272354126
22,100,10022,Ising,0.825,2.099529266357422,0.75,4.995967149734497
23,100,10023,Ising,0.9,3.153395414352417,0.95,2.246300458908081
24,100,10024,Ising,0.8,3.6489145755767822,0.825,2.6458957195281982
25,100,10025,Ising,0.95,3.6886844635009766,0.875,3.478114366531372
26,100,10026,Ising,0.3,0.31145167350769043,0.825,3.6647932529449463
27,100,10027,Ising,0.825,1.2260355949401855,0.775,1.514420986175537
28,100,10028,Ising,0.875,3.7486326694488525,0.85,2.755087375640869
29,100,10029,Ising,0.7,2.491055727005005,0.7,3.714702606201172
30,200,10030,Linear,0.26,0.5517458915710449,0.66,0.5541026592254639
31,200,10031,Linear,0.26,2.9294962882995605,0.58,1.8172557353973389
32,200,10032,Linear,0.36,4.112414121627808,0.44,1.6122791767120361
33,200,10033,Linear,0.54,1.2374038696289062,0.68,1.0973165035247803
34,200,10034,Linear,0.24,1.2756361961364746,0.46,0.36456871032714844
35,200,10035,Linear,0.28,1.7761259078979492,0.32,0.9167845249176025
36,200,10036,Linear,0.32,0.7372045516967773,0.6,0.93593430519104
37,200,10037,Linear,0.14,0.21935772895812988,0.62,0.9659452438354492
38,200,10038,Linear,0.34,0.9984455108642578,0.46,1.2812914848327637
39,200,10039,Linear,0.32,2.0739877223968506,0.54,3.098353147506714
