,n,seed,model,accuracy_2,accuracy_5,accuracy_10,accuracy_20,accuracy_30,accuracy_40,accuracy_50,time_2,time_5,time_10,time_20,time_30,time_40,time_50
0,100,1,gaussian,0.26,0.28,0.24,0.26,0.32,0.26,0.22,1.2693595886230469,0.691542387008667,1.571732997894287,2.5949149131774902,1.4099059104919434,2.6234045028686523,3.813469409942627
1,100,2,gaussian,0.26,0.2,0.26,0.22,0.16,0.22,0.22,1.8622469902038574,2.3837006092071533,1.0899405479431152,1.3585853576660156,2.364002227783203,1.0693042278289795,1.4924213886260986
2,100,3,gaussian,0.18,0.24,0.22,0.28,0.26,0.28,0.2,3.527775526046753,3.1660451889038086,2.913386344909668,2.914447546005249,2.195375442504883,3.1156482696533203,2.748255729675293
3,100,4,gaussian,0.24,0.18,0.2,0.24,0.18,0.24,0.2,1.1155915260314941,2.279086112976074,3.148045301437378,1.411407232284546,2.2966411113739014,3.563870668411255,2.592838764190674
4,100,5,gaussian,0.26,0.2,0.22,0.12,0.26,0.12,0.2,3.0857174396514893,2.1028873920440674,1.7849576473236084,3.1344704627990723,2.0798137187957764,2.4919533729553223,2.2200613021850586
5,100,6,gaussian,0.3,0.36,0.3,0.28,0.22,0.24,0.32,2.276942014694214,2.8174519538879395,2.267493724822998,1.2798895835876465,4.460106611251831,1.1628613471984863,0.6926889419555664
6,100,7,gaussian,0.24,0.24,0.22,0.16,0.16,0.16,0.14,1.3482589721679688,1.7664539813995361,1.9798986911773682,2.6458067893981934,0.7035877704620361,1.0816221237182617,1.699404001235962
7,100,8,gaussian,0.2,0.22,0.26,0.2,0.14,0.14,0.16,1.1132237911224365,0.977485179901123,2.236577033996582,3.2187843322753906,2.6686911582946777,3.9775264263153076,1.4397170543670654
8,100,9,gaussian,0.36,0.26,0.26,0.38,0.38,0.38,0.32,1.6352646350860596,1.2921392917633057,1.5493788719177246,1.1223948001861572,0.7149932384490967,0.9164454936981201,2.4902846813201904
9,100,10,gaussian,0.18,0.3,0.22,0.22,0.22,0.22,0.16,1.6930694580078125,2.2738630771636963,2.3671576976776123,0.8565618991851807,1.0633885860443115,2.1554625034332275,1.7706613540649414
10,100,11,gaussian,0.24,0.24,0.18,0.18,0.14,0.18,0.16,1.8797974586486816,1.9107224941253662,1.9209816455841064,1.5376567840576172,1.018535852432251,0.7049705982208252,0.7961480617523193
11,100,12,gaussian,0.2,0.2,0.22,0.22,0.22,0.22,0.22,1.0179071426391602,1.3281965255737305,1.1793737411499023,2.041766405105591,3.7252931594848633,1.577927589416504,1.7133376598358154
12,100,13,gaussian,0.22,0.26,0.3,0.24,0.2,0.24,0.22,2.457634925842285,1.3797399997711182,0.5870316028594971,1.3946261405944824,2.639104127883911,2.839665174484253,1.1945974826812744
13,100,14,gaussian,0.24,0.2,0.24,0.26,0.26,0.26,0.28,1.5092811584472656,3.2072272300720215,1.7125389575958252,1.2424218654632568,3.237137794494629,1.3946361541748047,2.044466733932495
14,100,15,gaussian,0.26,0.28,0.24,0.28,0.26,0.3,0.2,1.245035171508789,3.334632396697998,1.6768434047698975,2.124241590499878,1.8021104335784912,2.3975565433502197,1.9157540798187256
15,100,16,gaussian,0.36,0.24,0.36,0.24,0.3,0.24,0.22,2.049300193786621,3.111041784286499,1.9209415912628174,2.062458038330078,2.246631145477295,1.492377758026123,2.207707643508911
16,100,17,gaussian,0.2,0.22,0.22,0.26,0.16,0.22,0.2,1.7790920734405518,2.2451488971710205,1.4544644355773926,1.5248034000396729,2.3027496337890625,2.9492084980010986,2.611272096633911
17,100,18,gaussian,0.36,0.38,0.38,0.3,0.36,0.3,0.38,1.7600209712982178,1.1789727210998535,2.7668492794036865,2.533496379852295,1.3727703094482422,2.3303983211517334,2.0784122943878174
18,100,19,gaussian,0.24,0.24,0.24,0.26,0.16,0.2,0.22,1.7689759731292725,2.379356622695923,2.5146021842956543,1.8501436710357666,2.0445382595062256,2.025341033935547,2.724609375
19,100,20,gaussian,0.2,0.28,0.28,0.3,0.28,0.3,0.3,2.0612096786499023,1.9490504264831543,0.7602367401123047,1.5928633213043213,3.535698413848877,0.9884660243988037,0.8836269378662109
20,100,21,gaussian,0.3,0.3,0.32,0.3,0.38,0.3,0.3,1.7383201122283936,1.580103874206543,2.0351204872131348,1.9815895557403564,1.2446873188018799,1.7619585990905762,2.2732656002044678
21,100,22,gaussian,0.28,0.24,0.22,0.16,0.24,0.16,0.26,3.9100706577301025,1.8516426086425781,1.7612788677215576,2.4397921562194824,1.8703086376190186,3.070077657699585,2.577200174331665
22,100,23,gaussian,0.3,0.28,0.22,0.28,0.28,0.28,0.28,1.2854762077331543,0.9379596710205078,1.3011374473571777,1.7968800067901611,1.6014783382415771,1.6958866119384766,2.283824920654297
23,100,24,gaussian,0.26,0.24,0.26,0.26,0.26,0.26,0.28,1.1210026741027832,1.2395503520965576,1.7223968505859375,1.3007228374481201,2.2290127277374268,0.9742527008056641,3.160475969314575
24,100,25,gaussian,0.24,0.22,0.22,0.24,0.2,0.24,0.22,1.365431785583496,2.2052175998687744,1.8329284191131592,2.0175490379333496,2.547112464904785,3.9457693099975586,2.50319766998291
25,100,26,gaussian,0.16,0.16,0.22,0.22,0.22,0.22,0.26,2.391761064529419,2.9494948387145996,1.7164208889007568,1.1585102081298828,1.1421890258789062,0.854891300201416,3.035032033920288
26,100,27,gaussian,0.36,0.34,0.26,0.2,0.24,0.18,0.22,1.515599250793457,2.4221794605255127,1.0891351699829102,3.1522185802459717,1.9925191402435303,1.0031254291534424,1.0559136867523193
27,100,28,gaussian,0.2,0.18,0.18,0.28,0.2,0.28,0.12,2.9974451065063477,2.033615827560425,2.1457934379577637,1.9899885654449463,2.7607171535491943,1.3511102199554443,1.3624365329742432
