,n,p,k,autodiff_accuracy,gurobi_accuracy,autodiff_time,gurobi_time
0,50,50,28,0.75,0.75,0.2588353157043457,250.21910977363586
1,100,100,81,0.8271604938271605,0.7901234567901234,9.99722409248352,1372.8174712657928
2,100,100,36,0.6388888888888888,0.7222222222222222,0.7712724208831787,3602.2522444725037
3,50,50,23,0.6956521739130435,0.6086956521739131,0.11030888557434082,314.7778959274292
4,50,50,43,0.8837209302325582,0.8604651162790697,0.44965291023254395,2.2264254093170166
5,100,100,51,0.6274509803921569,0.6274509803921569,2.524717330932617,3602.798970222473
6,50,50,38,0.8421052631578947,0.7105263157894737,0.39078235626220703,22.139829874038696
7,100,100,6,0.8333333333333334,0.8333333333333334,0.14457178115844727,16.88133430480957
8,50,50,13,0.7692307692307693,0.6923076923076923,0.07004427909851074,153.80085229873657
9,50,50,50,1.0,1.0,0.07517838478088379,0.11798810958862305
10,100,100,92,0.9239130434782609,0.9130434782608695,9.824292659759521,24.49368119239807
11,100,100,47,0.6808510638297872,0.5957446808510638,1.8766577243804932,3602.2918016910553
12,100,100,58,0.7241379310344828,0.6379310344827587,2.2153470516204834,3602.336984872818
13,50,50,45,0.8888888888888888,0.9111111111111111,0.7180335521697998,2.005281686782837
14,100,100,2,1.0,1.0,0.1263718605041504,0.49170708656311035
15,50,50,20,0.6,0.7,0.12011170387268066,801.1915874481201
16,100,100,42,0.5476190476190477,0.5238095238095238,1.8877787590026855,3602.281517982483
17,100,100,99,0.98989898989899,0.98989898989899,2.1860945224761963,0.3914206027984619
18,100,100,17,0.5882352941176471,0.6470588235294118,0.29996299743652344,3602.2230784893036
19,100,100,54,0.7777777777777778,0.5740740740740741,3.7561230659484863,3602.226957321167
20,50,50,15,0.8666666666666667,0.7333333333333333,0.07415533065795898,184.4258861541748
21,100,100,94,0.9468085106382979,0.9361702127659575,9.899077415466309,6.795823097229004
22,100,100,49,0.5918367346938775,0.5714285714285714,1.6385767459869385,3602.1918275356293
23,100,100,69,0.7246376811594203,0.7101449275362319,4.812023639678955,3602.164824485779
24,100,100,24,0.7083333333333334,0.75,0.5762109756469727,3602.33465051651
25,50,50,11,0.6363636363636364,0.5454545454545454,0.06290102005004883,208.15774154663086
26,100,100,84,0.8571428571428571,0.8333333333333334,10.220317840576172,80.58783173561096
27,100,100,39,0.717948717948718,0.717948717948718,1.0918068885803223,3602.3272907733917
28,50,50,26,0.38461538461538464,0.5769230769230769,0.18259572982788086,543.2224688529968
29,100,100,80,0.825,0.8,4.9373650550842285,846.4022877216339
30,100,100,91,0.9120879120879121,0.9120879120879121,7.525963544845581,9.884432077407837
31,100,100,35,0.6857142857142857,0.6571428571428571,0.9716508388519287,3602.3208124637604
32,50,50,33,0.7272727272727273,0.6666666666666666,0.19780635833740234,84.01261258125305
33,50,50,8,0.75,0.75,0.04198336601257324,5.967255353927612
34,100,100,30,0.6333333333333333,0.6666666666666666,0.8540925979614258,3602.3096644878387
35,100,100,87,0.8735632183908046,0.8620689655172413,8.506809711456299,53.32133364677429
36,50,50,48,0.9583333333333334,0.9583333333333334,0.38930344581604004,1.2185728549957275
37,100,100,5,0.8,1.0,0.15011358261108398,6.5906291007995605
38,50,50,3,0.6666666666666666,0.6666666666666666,0.018738269805908203,0.19806909561157227
39,100,100,82,0.8292682926829268,0.8048780487804879,8.128729104995728,382.78350281715393
40,100,100,37,0.6216216216216216,0.6216216216216216,0.8262386322021484,3602.7198283672333
41,100,100,57,0.5964912280701754,0.5964912280701754,3.0851798057556152,3602.2328095436096
42,50,50,44,0.8636363636363636,0.8636363636363636,0.6619465351104736,2.446199893951416
43,100,100,12,0.6666666666666666,0.6666666666666666,0.24233365058898926,3601.7349841594696
44,100,100,97,0.979381443298969,0.9690721649484536,11.826565027236938,8.419541597366333
45,100,100,52,0.6153846153846154,0.5769230769230769,2.177049398422241,3603.0408220291138
46,100,100,72,0.7916666666666666,0.75,6.340216398239136,3602.4203317165375
47,100,100,7,0.8571428571428571,0.8571428571428571,0.20595335960388184,1058.0356059074402
48,100,100,27,0.7777777777777778,0.7407407407407407,0.6592965126037598,3602.269464969635
49,50,50,14,0.6428571428571429,0.5714285714285714,0.0884239673614502,247.94890880584717
50,50,50,25,0.6,0.72,0.16623854637145996,259.05048632621765
