n,p,k,autodiff_accuracy,gurobi_accuracy,autodiff_time,gurobi_time
160,100,10,0.8,0.8,0.425182104,23.34142828
870,100,10,1,1,2.07276082,0.763840914
420,100,10,0.9,0.9,1.176425934,1.897110701
330,100,10,0.8,0.8,1.065417528,43.55337548
170,100,10,0.8,0.8,0.630444765,37.07220316
600,100,10,0.8,0.8,1.517678976,5.822490692
530,100,10,0.9,0.9,1.4152143,1.380795002
740,100,10,0.9,0.9,2.03018856,18.87104321
430,100,10,0.9,0.9,1.177000761,0.976233244
260,100,10,0.9,0.9,0.797953367,8.97335887
790,100,10,0.9,0.9,1.831403017,1.014262438
300,100,10,1,1,0.501617432,0.742887735
620,100,10,0.9,0.9,2.576448917,9.433663368
140,100,10,1,1,0.363082647,74.39337158
520,100,10,1,1,1.69015336,9.988390446
880,100,10,0.8,0.8,2.759476185,4.925369978
400,100,10,1,1,0.814757347,0.652709723
490,100,10,0.9,0.9,1.170363188,1.229031801
280,100,10,0.8,0.8,0.836725473,9.126915216
560,100,10,0.8,0.8,1.453503609,2.106775045
850,100,10,1,1,1.424510717,1.281199932
990,100,10,1,1,2.236991167,0.706060171
760,100,10,0.9,0.9,2.690089703,6.304026127
460,100,10,0.9,0.9,1.400881767,1.045265198
640,100,10,0.9,0.9,2.435124636,1.352463007
820,100,10,0.9,0.9,2.277607918,1.692316055
370,100,10,1,1,1.02297473,2.043765545
650,100,10,1,1,2.086397886,0.96648407
720,100,10,0.9,0.9,3.22267437,8.072622776
860,100,10,0.9,0.9,2.422974825,6.737627745
550,100,10,0.9,0.9,1.782696724,1.931414843
900,100,10,1,1,1.927971125,0.764846087
910,100,10,0.9,0.9,3.046509266,1.229696512
950,100,10,1,1,2.250831366,0.955946445
340,100,10,0.7,0.7,0.685875893,45.16851473
780,100,10,0.9,0.9,1.431987762,0.831902504
130,100,10,0.9,0.9,0.238961935,36.59848642
450,100,10,0.9,0.9,0.908717394,42.24198723
510,100,10,1,1,1.216686964,1.014905691
210,100,10,0.9,0.9,1.32488656,37.71441436
350,100,10,0.9,0.9,0.82708168,23.49637008
630,100,10,1,1,1.763117313,1.196010828
180,100,10,0.8,0.8,0.867383242,29.27896094
390,100,10,1,1,1.029947758,0.840183496
710,100,10,1,1,2.832523108,3.006407499
920,100,10,0.9,0.9,3.26124382,0.843545198
750,100,10,0.9,0.9,1.440578699,0.901109934
890,100,10,0.9,0.9,1.93979764,0.799806356
590,100,10,0.9,0.9,1.360798359,1.355722666
440,100,10,0.8,0.8,1.586992025,21.13380003
970,100,10,0.9,0.9,1.975891113,1.252900124
480,100,10,1,1,0.806034565,7.989250183
320,100,10,0.9,0.9,0.83024478,1.545078754
110,100,10,0.9,0.9,0.229875803,336.6815066
360,100,10,0.9,0.9,0.865964651,17.74121666
980,100,10,0.9,0.9,1.792942047,0.940165997
150,100,10,0.9,0.9,0.279110193,8.068043709
120,100,10,0.7,0.7,0.213412046,156.2148185
410,100,10,0.9,0.9,0.811078787,5.506265163
200,100,10,0.9,0.9,0.344206333,5.567443371
690,100,10,0.8,0.8,2.209068298,30.74024725
240,100,10,1,1,0.468185902,0.894105434
380,100,10,0.6,0.6,0.880944014,71.57974148
940,100,10,1,1,2.212941408,0.703947544
470,100,10,1,1,1.010751963,1.554535389
540,100,10,0.9,0.9,1.332778454,2.343823671
1000,100,10,0.9,0.9,3.045302391,1.190309763
610,100,10,0.9,0.9,1.319501638,0.78751874
830,100,10,0.9,0.9,2.343575954,1.275659323
700,100,10,1,1,0.926748753,0.76611948
220,100,10,0.8,0.8,0.473160028,23.7154541
580,100,10,0.9,0.9,0.979299068,1.676081419
960,100,10,1,1,1.268661737,0.98781538
270,100,10,0.8,0.8,0.607212782,2.162869692
800,100,10,1,1,1.53510952,0.462411642
310,100,10,0.9,0.9,0.645867109,5.97448802
100,100,10,0.9,0.9,0.166986227,1236.039047
670,100,10,1,1,0.825230837,0.40228653
810,100,10,1,1,1.417643309,0.73347187
570,100,10,0.9,0.9,1.974511385,4.006472588
660,100,10,1,1,1.862591267,0.68126893
500,100,10,0.9,0.9,1.125185013,5.801338434
930,100,10,1,1,1.735584259,0.967514515
840,100,10,1,1,2.574407578,0.737755299
190,100,10,0.9,0.9,0.699329853,8.865571499
680,100,10,0.8,0.8,2.332173109,3.063727379
230,100,10,0.9,0.9,0.753791809,2.976202726
730,100,10,0.8,0.8,2.346729517,1.673769951
250,100,10,0.9,0.8,0.681116819,9.424102783
290,100,10,0.8,0.8,0.960048437,3.410409927
770,100,10,0.9,0.9,2.112810373,1.15177989
160,100,10,0.9,0.9,0.579153061,11.25157905
870,100,10,0.9,0.9,2.483242035,1.326294899
420,100,10,0.9,0.9,0.722634792,8.518736362
330,100,10,0.8,0.8,0.907838583,14.59590936
170,100,10,0.8,0.8,1.314077377,13.06559038
600,100,10,0.9,0.9,1.996542931,0.856379747
530,100,10,1,1,1.082736731,1.098851204
740,100,10,0.8,0.8,1.933601618,1.916933537
430,100,10,0.9,0.9,0.604947329,1.115359545
260,100,10,0.9,0.9,1.19183135,23.41798162
790,100,10,0.9,0.9,2.009757519,0.93174243
300,100,10,0.9,0.9,0.54496479,1.30907321
620,100,10,1,1,2.043265343,1.138868332
140,100,10,0.8,0.8,0.363655329,67.34690571
520,100,10,1,1,1.008538485,0.932374716
880,100,10,0.8,0.8,2.998238564,15.60530829
400,100,10,1,1,1.200096607,0.773903847
490,100,10,1,1,0.662357807,1.06004858
280,100,10,0.9,0.9,0.490411997,14.47708797
560,100,10,1,1,1.831635952,0.897996426
850,100,10,1,1,2.875605106,0.851130247
990,100,10,1,1,2.48496747,1.265812874
760,100,10,0.9,0.9,2.563263178,0.909440756
460,100,10,0.8,0.8,1.323191643,19.84642601
640,100,10,0.9,0.9,1.594636679,1.763521671
820,100,10,1,1,3.035235882,0.827150106
370,100,10,0.9,0.9,1.379125595,11.2149775
650,100,10,1,1,1.881159544,0.803679705
720,100,10,0.7,0.7,1.899744987,8.264050007
860,100,10,1,1,2.847328663,0.862230301
550,100,10,1,1,1.786045551,0.80587554
900,100,10,1,1,2.308501244,1.253368855
910,100,10,0.9,0.9,1.903624535,1.019170046
950,100,10,0.9,0.9,2.882530212,1.075291157
340,100,10,0.8,0.8,0.567159891,13.39900851
780,100,10,1,1,2.060537338,0.64456296
130,100,10,1,1,0.374446392,50.30786085
450,100,10,1,1,0.902389526,0.733868122
510,100,10,0.9,0.9,1.694055319,4.659039021
210,100,10,1,1,0.362745047,2.373986244
350,100,10,1,1,0.624167204,1.256822586
