,method,n,time,accuracy
0,abess,100,3.7940402030944824,0.3
1,abess,100,2.9845328330993652,0.6
2,abess,100,3.3624343872070312,0.5
3,abess,100,3.2250537872314453,0.6
4,abess,100,2.7729828357696533,0.4
5,abess,200,5.667895793914795,0.9
6,abess,200,6.516003847122192,1.0
7,abess,200,6.31223464012146,0.9
8,abess,200,6.003933429718018,0.5
9,abess,200,5.866727828979492,0.8
10,abess,300,11.125824451446533,1.0
11,abess,300,12.497244358062744,1.0
12,abess,300,7.507901430130005,1.0
13,abess,300,8.560889720916748,1.0
14,abess,300,8.428274154663086,1.0
15,abess,400,10.70121455192566,1.0
16,abess,400,9.425061225891113,1.0
17,abess,400,15.719950199127197,1.0
18,abess,400,15.675510883331299,1.0
19,abess,400,11.51022481918335,1.0
20,abess,500,14.134726285934448,1.0
21,abess,500,12.538585424423218,1.0
22,abess,500,20.728719234466553,1.0
23,abess,500,11.845900774002075,1.0
24,abess,500,13.30208945274353,1.0
25,abess,600,22.176185846328735,1.0
26,abess,600,15.562930345535278,1.0
27,abess,600,22.228900909423828,1.0
28,abess,600,6.889378547668457,1.0
29,abess,600,15.046046733856201,1.0
30,abess,700,17.821619749069214,1.0
31,abess,700,16.987510919570923,1.0
32,abess,700,16.6828715801239,1.0
33,abess,700,18.200194597244263,1.0
34,abess,700,15.914026260375977,1.0
35,abess,800,9.146891832351685,1.0
36,abess,800,20.475159645080566,1.0
37,abess,800,19.202908754348755,1.0
38,abess,800,18.928818225860596,1.0
39,abess,800,8.845861196517944,1.0
40,abess,900,9.837462425231934,1.0
41,abess,900,31.237669467926025,1.0
42,abess,900,10.374449968338013,1.0
43,abess,900,21.176908254623413,1.0
44,abess,900,20.735305070877075,1.0
45,abess,1000,10.800758838653564,1.0
46,abess,1000,22.96753168106079,1.0
47,abess,1000,11.235424280166626,1.0
48,abess,1000,23.86933159828186,1.0
49,abess,1000,23.5398108959198,1.0
