method,n,time,accuracy
omp,100,0.009999999999990905,0.5
omp,100,0.009999999999990905,0.6
omp,100,0.009000000000014552,0.4
omp,100,0.009000000000014552,0.6
omp,100,0.009999999999990905,0.4
omp,200,0.011000000000080945,0.9
omp,200,0.012000000000057298,1
omp,200,0.011000000000080945,0.8
omp,200,0.011000000000080945,0.8
omp,200,0.011000000000080945,0.6
omp,300,0.01599999999996271,1
omp,300,0.020999999999958163,1
omp,300,0.011999999999943611,1
omp,300,0.013000000000033651,1
omp,300,0.013999999999896318,1
omp,400,0.014999999999986358,1
omp,400,0.018000000000029104,1
omp,400,0.019000000000005457,1
omp,400,0.019000000000005457,1
omp,400,0.014000000000010004,1
omp,500,0.016999999999939064,1
omp,500,0.016000000000076398,1
omp,500,0.016999999999939064,1
omp,500,0.016999999999939064,1
omp,500,0.019000000000005457,1
omp,600,0.022000000000048203,1
omp,600,0.019000000000005457,1
omp,600,0.019000000000005457,1
omp,600,0.021999999999934516,1
omp,600,0.022000000000048203,1
omp,700,0.02100000000007185,1
omp,700,0.021999999999934516,1
omp,700,0.02400000000000091,1
omp,700,0.03300000000001546,1
omp,700,0.020999999999958163,1
omp,800,0.026000000000067303,1
omp,800,0.03999999999996362,1
omp,800,0.02400000000000091,1
omp,800,0.025999999999953616,1
omp,800,0.021999999999934516,1
omp,900,0.02800000000002001,1
omp,900,0.025999999999953616,1
omp,900,0.028999999999996362,1
omp,900,0.02400000000000091,1
omp,900,0.02400000000000091,1
omp,1000,0.025999999999953616,1
omp,1000,0.043000000000006366,1
omp,1000,0.025999999999953616,1
omp,1000,0.027999999999906322,1
omp,1000,0.027000000000043656,1
