method,n,time,accuracy
omp,100,0.03900000000021464,0.3
omp,100,0.038000000000010914,0.15
omp,100,0.03500000000030923,0.25
omp,100,0.032000000000152795,0.15
omp,100,0.032000000000152795,0.3
omp,100,0.031000000000403816,0.25
omp,100,0.038000000000010914,0.2
omp,100,0.033999999999650754,0.05
omp,100,0.031000000000403816,0.15
omp,100,0.03099999999994907,0.25
omp,120,0.03899999999975989,0.35
omp,120,0.45100000000002183,0.2
omp,120,0.0340000000001055,0.2
omp,120,0.0340000000001055,0.2
omp,120,0.0340000000001055,0.3
omp,120,0.05900000000019645,0.15
omp,120,0.032000000000152795,0.2
omp,120,0.0340000000001055,0.25
omp,120,0.03599999999960346,0.25
omp,120,0.03900000000021464,0.3
omp,140,0.03699999999980719,0.45
omp,140,0.032999999999901775,0.4
omp,140,0.038000000000010914,0.6
omp,140,0.03500000000030923,0.3
omp,140,0.037000000000261934,0.35
omp,140,0.032999999999901775,0.3
omp,140,0.03499999999985448,0.35
omp,140,0.038000000000010914,0.2
omp,140,0.0340000000001055,0.25
omp,140,0.03600000000005821,0.3
omp,160,0.03699999999980719,0.35
omp,160,0.03900000000021464,0.4
omp,160,0.06500000000005457,0.45
omp,160,0.037000000000261934,0.6
omp,160,0.03900000000021464,0.45
omp,160,0.037000000000261934,0.35
omp,160,0.03600000000005821,0.25
omp,160,0.037000000000261934,0.35
omp,160,0.03899999999975989,0.6
omp,160,0.037000000000261934,0.45
omp,180,0.03999999999996362,0.5
omp,180,0.03999999999996362,0.55
omp,180,0.03900000000021464,0.55
omp,180,0.03600000000005821,0.75
omp,180,0.03999999999996362,0.6
omp,180,0.0340000000001055,0.4
omp,180,0.03600000000005821,0.45
omp,180,0.03900000000021464,0.6
omp,180,0.03499999999985448,0.4
omp,180,0.03999999999996362,0.45
omp,200,0.04000000000041837,0.7
omp,200,0.04100000000016735,0.75
omp,200,0.03900000000021464,0.6
omp,200,0.07599999999956708,0.6
omp,200,0.038000000000010914,0.7
omp,200,0.041999999999916326,0.55
omp,200,0.04300000000012005,0.6
omp,200,0.04100000000016735,0.5
omp,200,0.04100000000016735,0.55
omp,200,0.037000000000261934,0.65
omp,220,0.03999999999996362,0.65
omp,220,0.04100000000016735,0.75
omp,220,0.04399999999986903,0.65
omp,220,0.05099999999993088,0.75
omp,220,0.042999999999665306,0.55
omp,220,0.047000000000025466,0.6
omp,220,0.046000000000276486,0.7
omp,220,0.04300000000012005,0.65
omp,220,0.03600000000005821,0.65
omp,220,0.03900000000021464,0.6
omp,240,0.06500000000005457,0.85
omp,240,0.05400000000008731,0.7
omp,240,0.04500000000007276,0.55
omp,240,0.042999999999665306,0.75
omp,240,0.07200000000011642,0.8
omp,240,0.04100000000016735,0.75
omp,240,0.047000000000025466,0.5
omp,240,0.04500000000007276,0.7
omp,240,0.04899999999997817,0.6
omp,240,0.038000000000010914,0.95
omp,260,0.05900000000019645,0.75
omp,260,0.04599999999982174,0.9
omp,260,0.047000000000025466,0.85
omp,260,0.047000000000025466,0.7
omp,260,0.042999999999665306,0.5
omp,260,0.04400000000032378,0.65
omp,260,0.04399999999986903,0.7
omp,260,0.04500000000007276,0.8
omp,260,0.042999999999665306,0.85
omp,260,0.03600000000005821,0.9
omp,280,0.042000000000371074,0.9
omp,280,0.04499999999961801,0.9
omp,280,0.04399999999986903,0.95
omp,280,0.046000000000276486,0.85
omp,280,0.046000000000276486,0.75
omp,280,0.06899999999995998,0.9
omp,280,0.047000000000025466,0.85
omp,280,0.04100000000016735,0.7
omp,280,0.041999999999916326,0.9
omp,280,0.0749999999998181,0.9
omp,300,0.05499999999983629,0.9
omp,300,0.0500000000001819,0.85
omp,300,0.04899999999997817,0.9
omp,300,0.052000000000134605,0.8
omp,300,0.04500000000007276,0.85
omp,300,0.04399999999986903,0.85
omp,300,0.05199999999967986,0.55
omp,300,0.04599999999982174,0.95
omp,300,0.041999999999916326,0.8
omp,300,0.04999999999972715,0.8
omp,320,0.046000000000276486,0.9
omp,320,0.05099999999993088,0.9
omp,320,0.047999999999774445,1
omp,320,0.051000000000385626,0.9
omp,320,0.0500000000001819,0.95
omp,320,0.052000000000134605,0.95
omp,320,0.047999999999774445,1
omp,320,0.04999999999972715,0.8
omp,320,0.05600000000004002,0.75
omp,320,0.04800000000022919,0.85
omp,340,0.0500000000001819,0.9
omp,340,0.05499999999983629,0.85
omp,340,0.0500000000001819,0.9
omp,340,0.0500000000001819,0.95
omp,340,0.052999999999883585,0.95
omp,340,0.04800000000022919,0.95
omp,340,0.04899999999997817,0.95
omp,340,0.052999999999883585,0.9
omp,340,0.08699999999998909,0.75
omp,340,0.05499999999983629,0.85
omp,360,0.05199999999967986,0.9
omp,360,0.058999999999741704,0.75
omp,360,0.07600000000002183,0.9
omp,360,0.052000000000134605,0.9
omp,360,0.04999999999972715,0.8
omp,360,0.04800000000022919,0.95
omp,360,0.07100000000036744,0.95
omp,360,0.04999999999972715,0.9
omp,360,0.05199999999967986,0.85
omp,360,0.04899999999997817,0.8
omp,380,0.05400000000008731,0.85
omp,380,0.06099999999969441,0.95
omp,380,0.051000000000385626,1
omp,380,0.057000000000243745,0.9
omp,380,0.046000000000276486,0.85
omp,380,0.052000000000134605,0.95
omp,380,0.04899999999997817,1
omp,380,0.052999999999883585,0.95
omp,380,0.056999999999789,0.85
omp,380,0.05599999999958527,0.8
omp,400,0.05400000000008731,0.8
omp,400,0.05099999999993088,1
omp,400,0.057000000000243745,0.7
omp,400,0.07600000000002183,0.85
omp,400,0.05099999999993088,1
omp,400,0.056999999999789,0.8
omp,400,0.053999999999632564,1
omp,400,0.07099999999991269,0.95
omp,400,0.04800000000022919,1
omp,400,0.057999999999992724,0.9
omp,420,0.05499999999983629,0.95
omp,420,0.057999999999992724,0.95
omp,420,0.058999999999741704,0.95
omp,420,0.05999999999994543,0.9
omp,420,0.057000000000243745,0.85
omp,420,0.05600000000004002,1
omp,420,0.057999999999992724,0.9
omp,420,0.05600000000004002,1
omp,420,0.052999999999883585,0.9
omp,420,0.056999999999789,0.95
omp,440,0.05499999999983629,0.85
omp,440,0.05300000000033833,1
omp,440,0.05500000000029104,1
omp,440,0.052000000000134605,0.85
omp,440,0.06400000000030559,0.95
omp,440,0.057000000000243745,1
omp,440,0.057000000000243745,1
omp,440,0.05999999999994543,0.9
omp,440,0.08699999999998909,0.95
omp,440,0.056999999999789,0.95
omp,460,0.06000000000040018,1
omp,460,0.06700000000000728,0.95
omp,460,0.08699999999998909,0.95
omp,460,0.06199999999989814,0.95
omp,460,0.05500000000029104,1
omp,460,0.056999999999789,0.9
omp,460,0.05600000000004002,0.95
omp,460,0.053999999999632564,1
omp,460,0.05499999999983629,0.95
omp,460,0.06100000000014916,1
omp,480,0.06399999999985084,0.95
omp,480,0.057000000000243745,0.95
omp,480,0.06100000000014916,1
omp,480,0.068000000000211,1
omp,480,0.06500000000005457,0.95
omp,480,0.06100000000014916,1
omp,480,0.06500000000005457,0.95
omp,480,0.056999999999789,1
omp,480,0.05400000000008731,1
omp,480,0.056999999999789,1
omp,500,0.056999999999789,1
omp,500,0.05999999999994543,1
omp,500,0.058999999999741704,0.95
omp,500,0.05999999999994543,1
omp,500,0.05999999999994543,1
omp,500,0.056999999999789,0.9
omp,500,0.05599999999958527,1
omp,500,0.08000000000038199,0.95
omp,500,0.06000000000040018,1
omp,500,0.057000000000243745,0.95
omp,520,0.06199999999989814,1
omp,520,0.08300000000008367,1
omp,520,0.05999999999994543,0.95
omp,520,0.058999999999741704,1
omp,520,0.05999999999994543,1
omp,520,0.08800000000019281,1
omp,520,0.06300000000010186,1
omp,520,0.06400000000030559,1
omp,520,0.058999999999741704,0.9
omp,520,0.06599999999980355,1
omp,540,0.07099999999991269,0.95
omp,540,0.06300000000010186,0.95
omp,540,0.06400000000030559,0.95
omp,540,0.06399999999985084,0.95
omp,540,0.06399999999985084,1
omp,540,0.06099999999969441,0.95
omp,540,0.06700000000000728,1
omp,540,0.06399999999985084,1
omp,540,0.07099999999991269,1
omp,540,0.07799999999997453,0.95
omp,560,0.07400000000006912,0.95
omp,560,0.06799999999975626,0.95
omp,560,0.06500000000005457,1
omp,560,0.06400000000030559,1
omp,560,0.06399999999985084,0.95
omp,560,0.06199999999989814,1
omp,560,0.06399999999985084,1
omp,560,0.07999999999992724,0.95
omp,560,0.0660000000002583,1
omp,560,0.06500000000005457,1
omp,580,0.09600000000000364,1
omp,580,0.08100000000013097,0.9
omp,580,0.06399999999985084,1
omp,580,0.06500000000005457,1
omp,580,0.07300000000032014,0.95
omp,580,0.07000000000016371,1
omp,580,0.07600000000002183,1
omp,580,0.07400000000006912,1
omp,580,0.06900000000041473,0.95
omp,580,0.06599999999980355,1
