,model,n,p,k,seed,method,time,accuracy
0,linear,100,500,50,0,SCOPE_jit,0.9251396900508553,0.3
1,linear,100,500,50,0,GraSP_jit,2.623999244067818,0.22
2,linear,100,500,50,0,IHT_jit,0.1826091690454632,0.38
3,linear,100,500,50,0,HTP_jit,0.7130937951151282,0.24
4,linear,100,500,50,0,CVXPY,0.025743843987584114,0.26
5,linear,100,500,50,1,SCOPE_jit,3.354332624003291,0.2
6,linear,100,500,50,1,GraSP_jit,5.002171297091991,0.2
7,linear,100,500,50,1,IHT_jit,0.21744720707647502,0.36
8,linear,100,500,50,1,HTP_jit,0.3386522079817951,0.26
9,linear,100,500,50,1,CVXPY,0.14943761215545237,0.36
10,linear,100,500,50,2,SCOPE_jit,1.2427881381008774,0.22
11,linear,100,500,50,2,GraSP_jit,1.9461743449792266,0.14
12,linear,100,500,50,2,IHT_jit,0.7064897411037236,0.26
13,linear,100,500,50,2,HTP_jit,0.30873742094263434,0.18
14,linear,100,500,50,2,CVXPY,0.04966651904396713,0.26
15,linear,100,500,50,3,SCOPE_jit,0.858127259882167,0.3
16,linear,100,500,50,3,GraSP_jit,3.80304915108718,0.24
17,linear,100,500,50,3,IHT_jit,0.376632756087929,0.3
18,linear,100,500,50,3,HTP_jit,1.6169925939757377,0.28
19,linear,100,500,50,3,CVXPY,0.03645760612562299,0.36
20,linear,100,500,50,4,SCOPE_jit,1.1353339101187885,0.18
21,linear,100,500,50,4,GraSP_jit,1.767012771917507,0.16
22,linear,100,500,50,4,IHT_jit,0.31206030398607254,0.36
23,linear,100,500,50,4,HTP_jit,0.8886635438539088,0.18
24,linear,100,500,50,4,CVXPY,0.09499410493299365,0.36
25,linear,100,500,50,5,SCOPE_jit,1.8453418530989438,0.16
26,linear,100,500,50,5,GraSP_jit,2.865035888971761,0.18
27,linear,100,500,50,5,IHT_jit,0.5257256249897182,0.32
28,linear,100,500,50,5,HTP_jit,0.3355081109330058,0.28
29,linear,100,500,50,5,CVXPY,0.015174068976193666,0.2
30,linear,100,500,50,6,SCOPE_jit,1.2010764100123197,0.28
31,linear,100,500,50,6,GraSP_jit,1.9047161529306322,0.28
32,linear,100,500,50,6,IHT_jit,0.27253770106472075,0.38
33,linear,100,500,50,6,HTP_jit,1.2594333090819418,0.18
34,linear,100,500,50,6,CVXPY,0.03852751897647977,0.34
35,linear,100,500,50,7,SCOPE_jit,0.8277808050625026,0.22
36,linear,100,500,50,7,GraSP_jit,1.257322414079681,0.2
37,linear,100,500,50,7,IHT_jit,0.1830374519340694,0.24
38,linear,100,500,50,7,HTP_jit,0.2506861591245979,0.2
39,linear,100,500,50,7,CVXPY,0.020783832063898444,0.14
40,linear,100,500,50,8,SCOPE_jit,2.4544242820702493,0.2
41,linear,100,500,50,8,GraSP_jit,7.972495510010049,0.22
42,linear,100,500,50,8,IHT_jit,0.2041472070850432,0.3
43,linear,100,500,50,8,HTP_jit,0.2856703498400748,0.18
44,linear,100,500,50,8,CVXPY,0.06537856394425035,0.24
45,linear,100,500,50,9,SCOPE_jit,0.9620306070428342,0.32
46,linear,100,500,50,9,GraSP_jit,5.716827233089134,0.38
47,linear,100,500,50,9,IHT_jit,1.3583049960434437,0.4
48,linear,100,500,50,9,HTP_jit,0.31797545519657433,0.3
49,linear,100,500,50,9,CVXPY,0.05757050192914903,0.38
50,linear,200,500,50,10,SCOPE_jit,0.618259851122275,0.5
51,linear,200,500,50,10,GraSP_jit,2.783390284050256,0.36
52,linear,200,500,50,10,IHT_jit,0.4410539660602808,0.48
53,linear,200,500,50,10,HTP_jit,0.7697610359173268,0.5
54,linear,200,500,50,10,CVXPY,0.025811556028202176,0.5
55,linear,200,500,50,11,SCOPE_jit,0.8262961320579052,0.52
56,linear,200,500,50,11,GraSP_jit,3.154425736051053,0.3
57,linear,200,500,50,11,IHT_jit,0.2757478260900825,0.56
58,linear,200,500,50,11,HTP_jit,0.49940067902207375,0.5
59,linear,200,500,50,11,CVXPY,0.07432860089465976,0.36
60,linear,200,500,50,12,SCOPE_jit,0.7337843109853566,0.54
61,linear,200,500,50,12,GraSP_jit,2.5339477818924934,0.46
62,linear,200,500,50,12,IHT_jit,0.258227061945945,0.66
63,linear,200,500,50,12,HTP_jit,0.37204363918863237,0.74
64,linear,200,500,50,12,CVXPY,0.1231192029081285,0.64
65,linear,200,500,50,13,SCOPE_jit,1.110875315964222,0.62
66,linear,200,500,50,13,GraSP_jit,3.326112660812214,0.42
67,linear,200,500,50,13,IHT_jit,0.33619998302310705,0.48
68,linear,200,500,50,13,HTP_jit,0.2989058210514486,0.42
69,linear,200,500,50,13,CVXPY,0.056131799006834626,0.48
70,linear,200,500,50,14,SCOPE_jit,0.9052590020000935,0.7
71,linear,200,500,50,14,GraSP_jit,2.1798948771320283,0.66
72,linear,200,500,50,14,IHT_jit,0.16854389011859894,0.6
73,linear,200,500,50,14,HTP_jit,0.21472939406521618,0.6
74,linear,200,500,50,14,CVXPY,0.0560678499750793,0.58
75,linear,200,500,50,15,SCOPE_jit,0.6720729779917747,0.56
76,linear,200,500,50,15,GraSP_jit,2.42537437309511,0.56
77,linear,200,500,50,15,IHT_jit,0.1668488869909197,0.56
78,linear,200,500,50,15,HTP_jit,0.3772576430346817,0.48
79,linear,200,500,50,15,CVXPY,0.23415224603377283,0.46
80,linear,200,500,50,16,SCOPE_jit,1.2179817738942802,0.62
81,linear,200,500,50,16,GraSP_jit,3.0928325010463595,0.36
82,linear,200,500,50,16,IHT_jit,0.22273555817082524,0.7
83,linear,200,500,50,16,HTP_jit,0.24812415707856417,0.68
84,linear,200,500,50,16,CVXPY,0.12377317203208804,0.44
85,linear,200,500,50,17,SCOPE_jit,0.7627140069380403,0.6
86,linear,200,500,50,17,GraSP_jit,4.696138140978292,0.54
87,linear,200,500,50,17,IHT_jit,0.3556779711507261,0.6
88,linear,200,500,50,17,HTP_jit,0.37838403414934874,0.56
89,linear,200,500,50,17,CVXPY,0.05313155218027532,0.4
90,linear,200,500,50,18,SCOPE_jit,1.1737201509531587,0.66
91,linear,200,500,50,18,GraSP_jit,8.237321173073724,0.58
92,linear,200,500,50,18,IHT_jit,0.5684113767929375,0.72
93,linear,200,500,50,18,HTP_jit,0.3364119010511786,0.58
