,model,n,p,k,seed,method,time,accuracy,n_iters
0,linear,100,500,50,0,SCOPE_jit,1.7341215469998588,0.3,22.0
1,linear,100,500,50,0,SCOPE,13.37174181499995,0.3,22.0
2,linear,100,500,50,0,GraSP_jit,4.094850049999877,0.22,99.0
3,linear,100,500,50,0,GraSP,79.30494710300013,0.22,99.0
4,linear,100,500,50,0,IHT_jit,0.3184400180000466,0.38,2.0
5,linear,100,500,50,0,IHT,0.184594197000024,0.38,2.0
6,linear,100,500,50,0,HTP_jit,0.7250669059999382,0.24,41.0
7,linear,100,500,50,0,HTP,13.346615640999971,0.24,41.0
8,linear,100,500,50,0,CVXPY,0.015405681000174809,0.26,0.0
9,linear,100,500,50,1,SCOPE_jit,0.7054599539999344,0.2,25.0
10,linear,100,500,50,1,SCOPE,10.839040466000142,0.2,25.0
11,linear,100,500,50,1,GraSP_jit,4.140154690000145,0.2,99.0
12,linear,100,500,50,1,GraSP,86.08576336400006,0.2,99.0
13,linear,100,500,50,1,IHT_jit,0.5925054060001003,0.36,2.0
14,linear,100,500,50,1,IHT,0.4972790879999138,0.36,2.0
15,linear,100,500,50,1,HTP_jit,0.32520443599992177,0.26,7.0
16,linear,100,500,50,1,HTP,2.344058569000026,0.26,7.0
17,linear,100,500,50,1,CVXPY,0.036677385000075446,0.36,0.0
18,linear,100,500,50,2,SCOPE_jit,0.8377137299999049,0.22,36.0
19,linear,100,500,50,2,SCOPE,15.624455939999962,0.22,36.0
20,linear,100,500,50,2,GraSP_jit,0.6967199589998927,0.14,11.0
21,linear,100,500,50,2,GraSP,9.06800171499981,0.14,11.0
22,linear,100,500,50,2,IHT_jit,0.26124541700005466,0.26,3.0
23,linear,100,500,50,2,IHT,0.35939169900007073,0.26,3.0
24,linear,100,500,50,2,HTP_jit,0.5025000739999541,0.18,10.0
25,linear,100,500,50,2,HTP,4.437654041000087,0.18,10.0
26,linear,100,500,50,2,CVXPY,0.05977354600008766,0.26,0.0
27,linear,100,500,50,3,SCOPE_jit,1.0396560110000337,0.3,25.0
28,linear,100,500,50,3,SCOPE,12.776756667999962,0.3,25.0
29,linear,100,500,50,3,GraSP_jit,4.353689098000132,0.24,99.0
30,linear,100,500,50,3,GraSP,94.71501566300003,0.24,99.0
31,linear,100,500,50,3,IHT_jit,0.19681336999997256,0.3,4.0
32,linear,100,500,50,3,IHT,0.2568214190000617,0.3,4.0
33,linear,100,500,50,3,HTP_jit,1.1319269550001536,0.28,49.0
34,linear,100,500,50,3,HTP,12.91426678200014,0.28,49.0
35,linear,100,500,50,3,CVXPY,0.009816584000191142,0.22,0.0
36,linear,100,500,50,4,SCOPE_jit,1.147561456999938,0.18,33.0
37,linear,100,500,50,4,SCOPE,19.860718585000086,0.18,33.0
