,model,n,p,k,seed,method,time,accurary
0,ising,100,190,40,300,SCOPE,11.338103487156332,0.575
1,ising,100,190,40,300,SCOPE_jit,0.7577215579804033,0.575
2,ising,100,190,40,300,GraSP,74.8543943578843,0.7
3,ising,100,190,40,300,GraSP_jit,1.7512668541166931,0.7
4,ising,100,190,40,300,IHT_jit,0.1926772699225694,0.875
5,ising,100,190,40,300,IHT,0.5016273600049317,0.875
6,ising,100,190,40,300,HTP_jit,0.20807631919160485,0.875
7,ising,100,190,40,300,HTP,1.2277201861143112,0.875
8,ising,100,190,40,300,CVXPY,0.18141848896630108,0.825
9,ising,100,190,40,301,SCOPE,6.14795262995176,0.7
10,ising,100,190,40,301,SCOPE_jit,0.7887905240058899,0.825
11,ising,100,190,40,301,GraSP,72.29704254399985,0.8
12,ising,100,190,40,301,GraSP_jit,1.6580050468910486,0.8
13,ising,100,190,40,301,IHT_jit,0.20464056194759905,0.875
14,ising,100,190,40,301,IHT,0.6729049009736627,0.875
15,ising,100,190,40,301,HTP_jit,0.24767279298976064,0.925
16,ising,100,190,40,301,HTP,2.950840163975954,0.925
17,ising,100,190,40,301,CVXPY,0.20388635387644172,0.9
18,ising,100,190,40,302,SCOPE,18.915110633941367,0.725
19,ising,100,190,40,302,SCOPE_jit,1.1644055938813835,0.725
20,ising,100,190,40,302,GraSP,69.58447578293271,0.7
21,ising,100,190,40,302,GraSP_jit,1.5743934959173203,0.7
22,ising,100,190,40,302,IHT_jit,0.1943417291622609,0.625
23,ising,100,190,40,302,IHT,0.4909218579996377,0.625
24,ising,100,190,40,302,HTP_jit,0.2098026149906218,0.75
25,ising,100,190,40,302,HTP,0.7839378679636866,0.75
26,ising,100,190,40,302,CVXPY,0.19965319288894534,0.8
27,ising,100,190,40,303,SCOPE,11.346322396071628,0.825
28,ising,100,190,40,303,SCOPE_jit,0.9013649260159582,0.75
29,ising,100,190,40,303,GraSP,4.528389516985044,0.75
30,ising,100,190,40,303,GraSP_jit,0.27985751209780574,0.75
31,ising,100,190,40,303,IHT_jit,0.19617704395204782,0.8
32,ising,100,190,40,303,IHT,0.5825838451273739,0.8
33,ising,100,190,40,303,HTP_jit,0.206365475198254,0.825
34,ising,100,190,40,303,HTP,1.1440309979952872,0.825
35,ising,100,190,40,303,CVXPY,0.18361154710873961,0.825
36,ising,100,190,40,304,SCOPE,18.105198608944193,0.775
37,ising,100,190,40,304,SCOPE_jit,1.1772913720924407,0.775
38,ising,100,190,40,304,GraSP,71.96562330401503,0.7
39,ising,100,190,40,304,GraSP_jit,1.7630339628085494,0.7
40,ising,100,190,40,304,IHT_jit,0.2250864440575242,0.8
41,ising,100,190,40,304,IHT,1.847332064062357,0.8
42,ising,100,190,40,304,HTP_jit,0.24419009615667164,0.875
43,ising,100,190,40,304,HTP,3.3215379340108484,0.875
44,ising,100,190,40,304,CVXPY,0.1949034440331161,0.75
45,ising,100,190,40,305,SCOPE,15.432856113184243,0.75
46,ising,100,190,40,305,SCOPE_jit,1.1107797380536795,0.75
47,ising,100,190,40,305,GraSP,78.12482928507961,0.7
