,model,n,p,k,seed,method,time,accuracy
0,ising,100,190,30,700,SCOPE,10.492249713046476,0.8
1,ising,100,190,30,700,SCOPE_jit,0.7853696390520781,0.8
2,ising,100,190,30,700,GraSP,67.57393463910557,0.8
3,ising,100,190,30,700,GraSP_jit,1.5910437209531665,0.8
4,ising,100,190,30,700,IHT_jit,0.19677538494579494,0.8666666666666667
5,ising,100,190,30,700,IHT,0.517728250939399,0.8666666666666667
6,ising,100,190,30,700,HTP_jit,0.25311988196335733,0.9
7,ising,100,190,30,700,HTP,2.884215674130246,0.9
8,ising,100,190,30,700,CVXPY,0.18916968000121415,0.8333333333333334
9,ising,100,190,30,701,SCOPE,13.226891253842041,0.5666666666666667
10,ising,100,190,30,701,SCOPE_jit,0.8897670889273286,0.5666666666666667
11,ising,100,190,30,701,GraSP,74.77160403016023,0.7
12,ising,100,190,30,701,GraSP_jit,1.7168140870053321,0.7
13,ising,100,190,30,701,IHT_jit,0.2032792498357594,0.7333333333333333
14,ising,100,190,30,701,IHT,0.7014008900150657,0.7333333333333333
15,ising,100,190,30,701,HTP_jit,0.2639935070183128,0.7666666666666667
16,ising,100,190,30,701,HTP,4.466423104982823,0.7666666666666667
17,ising,100,190,30,701,CVXPY,0.23407228686846793,0.8
18,ising,100,190,30,702,SCOPE,12.640848509036005,0.8666666666666667
19,ising,100,190,30,702,SCOPE_jit,0.9766673611011356,0.8666666666666667
20,ising,100,190,30,702,GraSP,2.7710834611207247,0.8
21,ising,100,190,30,702,GraSP_jit,0.24714758805930614,0.8
22,ising,100,190,30,702,IHT_jit,0.2379856901243329,0.9333333333333333
23,ising,100,190,30,702,IHT,1.7350413631647825,0.9333333333333333
24,ising,100,190,30,702,HTP_jit,0.2510673471260816,0.8666666666666667
25,ising,100,190,30,702,HTP,3.7814916279166937,0.8666666666666667
26,ising,100,190,30,702,CVXPY,0.18576828902587295,0.8333333333333334
27,ising,100,190,30,703,SCOPE,6.981244805036113,0.8
28,ising,100,190,30,703,SCOPE_jit,0.8033168150577694,0.8
29,ising,100,190,30,703,GraSP,3.4012006449047476,0.7
30,ising,100,190,30,703,GraSP_jit,0.2530378941446543,0.7
31,ising,100,190,30,703,IHT_jit,0.19299811706878245,0.8
32,ising,100,190,30,703,IHT,0.4706325561273843,0.8
33,ising,100,190,30,703,HTP_jit,0.2057670010253787,0.8
34,ising,100,190,30,703,HTP,1.1614534030668437,0.8
35,ising,100,190,30,703,CVXPY,0.19061383907683194,0.8
