,model,n,p,k,seed,method,time,accuracy
0,multitask,100,500,50,1900,SCOPE,14.386242120992392,0.45999999999999996
1,multitask,100,500,50,1900,SCOPE_jit,1.4691289919428527,0.45999999999999996
2,multitask,100,500,50,1900,GraSP,55.619553338037804,0.26
3,multitask,100,500,50,1900,GraSP_jit,4.381636285921559,0.26
4,multitask,100,500,50,1900,IHT_jit,0.12681010295636952,0.37999999999999995
5,multitask,100,500,50,1900,IHT,0.45026288903318346,0.37999999999999995
6,multitask,100,500,50,1900,HTP_jit,0.16994607308879495,0.36000000000000004
7,multitask,100,500,50,1900,HTP,1.0211316540371627,0.36000000000000004
8,multitask,100,500,50,1900,CVXPY,3.0242406360339373,0.0
9,multitask,100,500,50,1901,SCOPE,11.57795788301155,0.52
10,multitask,100,500,50,1901,SCOPE_jit,1.407709987834096,0.52
11,multitask,100,500,50,1901,GraSP,51.428468712139875,0.22
12,multitask,100,500,50,1901,GraSP_jit,4.176342281978577,0.22
13,multitask,100,500,50,1901,IHT_jit,0.11852833302691579,0.3
14,multitask,100,500,50,1901,IHT,0.260494054062292,0.3
15,multitask,100,500,50,1901,HTP_jit,0.1835492921527475,0.3
16,multitask,100,500,50,1901,HTP,1.5905936758499593,0.3
17,multitask,100,500,50,1901,CVXPY,3.4537049108184874,0.12
18,multitask,100,500,50,1902,SCOPE,19.472698329016566,0.54
19,multitask,100,500,50,1902,SCOPE_jit,2.013935622991994,0.54
20,multitask,100,500,50,1902,GraSP,76.83488822798245,0.18000000000000002
21,multitask,100,500,50,1902,GraSP_jit,4.918211627053097,0.18000000000000002
22,multitask,100,500,50,1902,IHT_jit,0.12450325698591769,0.36000000000000004
23,multitask,100,500,50,1902,IHT,0.43808388290926814,0.36000000000000004
24,multitask,100,500,50,1902,HTP_jit,0.1272161160595715,0.36000000000000004
25,multitask,100,500,50,1902,HTP,1.0798360211774707,0.36000000000000004
26,multitask,100,500,50,1902,CVXPY,8.601410868111998,0.0
27,multitask,100,500,50,1903,SCOPE,28.41048264084384,0.5
28,multitask,100,500,50,1903,SCOPE_jit,1.9376146048307419,0.5
29,multitask,100,500,50,1903,GraSP,174.64060830697417,0.27999999999999997
30,multitask,100,500,50,1903,GraSP_jit,9.518333651125431,0.27999999999999997
31,multitask,100,500,50,1903,IHT_jit,0.12906652712263167,0.44
32,multitask,100,500,50,1903,IHT,0.4592271151486784,0.44
33,multitask,100,500,50,1903,HTP_jit,0.36908706394024193,0.42
34,multitask,100,500,50,1903,HTP,3.4703881579916924,0.42
35,multitask,100,500,50,1903,CVXPY,7.754882640903816,0.26666666666666666
36,multitask,100,500,50,1904,SCOPE,12.547356002032757,0.34
37,multitask,100,500,50,1904,SCOPE_jit,1.3632827899418771,0.34
38,multitask,100,500,50,1904,GraSP,136.46876034303568,0.24
39,multitask,100,500,50,1904,GraSP_jit,10.398867481155321,0.24
40,multitask,100,500,50,1904,IHT_jit,0.1197959859855473,0.24
41,multitask,100,500,50,1904,IHT,0.38997573987580836,0.24
42,multitask,100,500,50,1904,HTP_jit,0.12160268798470497,0.24
43,multitask,100,500,50,1904,HTP,0.3870142379309982,0.24
44,multitask,100,500,50,1904,CVXPY,2.4919648200739175,0.0
45,multitask,100,500,50,1905,SCOPE,14.14176101400517,0.48
46,multitask,100,500,50,1905,SCOPE_jit,1.6417366079986095,0.48
47,multitask,100,500,50,1905,GraSP,50.76425166311674,0.3
48,multitask,100,500,50,1905,GraSP_jit,3.94742720015347,0.3
49,multitask,100,500,50,1905,IHT_jit,0.14714753907173872,0.48
50,multitask,100,500,50,1905,IHT,0.6071012921165675,0.48
51,multitask,100,500,50,1905,HTP_jit,0.16978216101415455,0.48
52,multitask,100,500,50,1905,HTP,1.1275687930174172,0.48
53,multitask,100,500,50,1905,CVXPY,8.260184513172135,0.26666666666666666
54,multitask,100,500,50,1906,,,
55,multitask,100,500,50,1907,SCOPE,26.451839898945764,0.48
56,multitask,100,500,50,1907,SCOPE_jit,2.509531345916912,0.48
57,multitask,100,500,50,1907,GraSP,352.3984236670658,0.16
58,multitask,100,500,50,1907,GraSP_jit,22.671639995882288,0.16
59,multitask,100,500,50,1907,IHT_jit,0.2865298429969698,0.37999999999999995
60,multitask,100,500,50,1907,IHT,1.0832561908755451,0.37999999999999995
61,multitask,100,500,50,1907,HTP_jit,0.3551290240138769,0.39999999999999997
62,multitask,100,500,50,1907,HTP,2.621326089836657,0.39999999999999997
63,multitask,100,500,50,1907,CVXPY,7.113173301098868,0.0
64,multitask,100,500,50,1908,SCOPE,13.390017662895843,0.6
65,multitask,100,500,50,1908,SCOPE_jit,1.4368436271324754,0.6
66,multitask,100,500,50,1908,GraSP,137.0443642770406,0.22
67,multitask,100,500,50,1908,GraSP_jit,10.36368567100726,0.22
68,multitask,100,500,50,1908,IHT_jit,0.13318007509224117,0.48
69,multitask,100,500,50,1908,IHT,0.4447395990137011,0.48
70,multitask,100,500,50,1908,HTP_jit,0.19227336207404733,0.5
71,multitask,100,500,50,1908,HTP,1.815712015843019,0.5
72,multitask,100,500,50,1908,CVXPY,2.7337303839158267,0.0
73,multitask,100,500,50,1909,SCOPE,15.024051246000454,0.48
74,multitask,100,500,50,1909,SCOPE_jit,1.6751305719371885,0.48
75,multitask,100,500,50,1909,GraSP,75.16960064298473,0.32
76,multitask,100,500,50,1909,GraSP_jit,5.36552371410653,0.32
77,multitask,100,500,50,1909,IHT_jit,0.14605636289343238,0.42
78,multitask,100,500,50,1909,IHT,0.4797494208905846,0.42
79,multitask,100,500,50,1909,HTP_jit,0.12987271090969443,0.36000000000000004
80,multitask,100,500,50,1909,HTP,0.4736706539988518,0.36000000000000004
81,multitask,100,500,50,1909,CVXPY,3.3548918180167675,0.0
82,multitask,200,500,50,1910,SCOPE,13.045824320055544,1.0
83,multitask,200,500,50,1910,SCOPE_jit,1.6576426611281931,1.0
84,multitask,200,500,50,1910,GraSP,9.83920470206067,1.0
85,multitask,200,500,50,1910,GraSP_jit,0.9495750609785318,1.0
86,multitask,200,500,50,1910,IHT_jit,0.30738189397379756,0.5599999999999999
87,multitask,200,500,50,1910,IHT,1.0997576699592173,0.5599999999999999
88,multitask,200,500,50,1910,HTP_jit,0.6505108289420605,1.0
89,multitask,200,500,50,1910,HTP,6.386436106171459,1.0
90,multitask,200,500,50,1910,CVXPY,32.790045886998996,0.0
91,multitask,200,500,50,1911,SCOPE,24.787113392027095,1.0
92,multitask,200,500,50,1911,SCOPE_jit,2.7891511120833457,1.0
93,multitask,200,500,50,1911,GraSP,12.854668981162831,1.0
94,multitask,200,500,50,1911,GraSP_jit,1.118395664030686,1.0
95,multitask,200,500,50,1911,IHT_jit,0.32175985793583095,0.48
