,model,n,p,k,seed,method,time,accuracy,n_iters
0,ising,100,190,40,0,SCOPE_jit,1.7157160420028958,0.8,12
1,ising,100,190,40,0,SCOPE,18.72194062899507,0.8,12
2,ising,100,190,40,0,GraSP_jit,0.5028622630052269,0.775,11
3,ising,100,190,40,0,GraSP,10.813123637999524,0.775,11
4,ising,100,190,40,0,Foba_jit,0.44685013899288606,0.775,0
5,ising,100,190,40,0,GraSP_jit,0.4392182839947054,0.775,0
6,ising,100,190,40,0,GraSP,10.060026633989764,0.775,0
7,ising,100,190,40,0,IHT_jit,0.37768274400150403,0.75,99
8,ising,100,190,40,0,IHT,2.350522104999982,0.75,99
9,ising,100,190,40,0,HTP_jit,0.2762431739975,0.75,5
10,ising,100,190,40,0,HTP,3.1118450180074433,0.75,5
11,ising,100,190,40,0,CVXPY,0.2448258679942228,0.8,0
12,ising,100,190,40,1,SCOPE_jit,0.8940220560034504,0.875,9
13,ising,100,190,40,1,SCOPE,9.937055881004198,0.875,9
14,ising,100,190,40,1,GraSP_jit,0.6474405029875925,0.775,21
15,ising,100,190,40,1,GraSP,18.389600939000957,0.775,21
16,ising,100,190,40,1,Foba_jit,0.6849634599930141,0.775,0
17,ising,100,190,40,1,GraSP_jit,0.6986300179996761,0.775,0
18,ising,100,190,40,1,GraSP,26.42132281899103,0.775,0
19,ising,100,190,40,1,IHT_jit,0.500107387008029,0.85,99
20,ising,100,190,40,1,IHT,2.919143641003757,0.85,99
21,ising,100,190,40,1,HTP_jit,0.36218795999593567,0.85,4
22,ising,100,190,40,1,HTP,3.331370319996495,0.85,4
23,ising,100,190,40,1,CVXPY,0.24581050699634943,0.8,0
24,ising,100,190,40,2,SCOPE_jit,1.0770583050034475,0.775,14
25,ising,100,190,40,2,SCOPE,14.394430297994404,0.775,14
26,ising,100,190,40,2,GraSP_jit,2.397925042998395,0.7,85
27,ising,100,190,40,2,GraSP,93.24050111600081,0.7,85
28,ising,100,190,40,2,Foba_jit,2.35252333599783,0.7,0
29,ising,100,190,40,2,GraSP_jit,2.219377296991297,0.7,0
30,ising,100,190,40,2,GraSP,98.01100063799822,0.7,0
31,ising,100,190,40,2,IHT_jit,0.27805483499832917,0.825,6
32,ising,100,190,40,2,IHT,0.7753653960098745,0.825,6
33,ising,100,190,40,2,HTP_jit,0.3447564060043078,0.8,7
34,ising,100,190,40,2,HTP,5.962791326994193,0.8,7
35,ising,100,190,40,2,CVXPY,0.2545394589978969,0.775,0
36,ising,100,190,40,3,SCOPE_jit,1.210384359001182,0.875,12
37,ising,100,190,40,3,SCOPE,9.636653344001388,0.85,9
38,ising,100,190,40,3,GraSP_jit,0.43967283400706947,0.8,9
39,ising,100,190,40,3,GraSP,9.028904498001793,0.8,9
40,ising,100,190,40,3,Foba_jit,0.43397888899198733,0.8,0
41,ising,100,190,40,3,GraSP_jit,0.43575331699685194,0.8,0
42,ising,100,190,40,3,GraSP,9.153937149007106,0.8,0
43,ising,100,190,40,3,IHT_jit,0.2586004189943196,0.825,4
44,ising,100,190,40,3,IHT,0.9893979589978699,0.825,4
