,model,n,p,k,seed,method,time,accuracy,n_iters
0,ising,100,190,40,0,SCOPE_jit,1.9246509299991885,0.8,12
1,ising,100,190,40,0,SCOPE,27.644295988997328,0.8,12
2,ising,100,190,40,0,GraSP_jit,0.9948765610024566,0.775,11
3,ising,100,190,40,0,GraSP,13.348503757995786,0.775,11
4,ising,100,190,40,0,IHT_jit,0.5071493889990961,0.75,99
5,ising,100,190,40,0,IHT,2.7849026120020426,0.75,99
6,ising,100,190,40,0,HTP_jit,0.3094568980013719,0.75,5
7,ising,100,190,40,0,HTP,3.698393186998146,0.75,5
8,ising,100,190,40,0,CVXPY,0.2626414990008925,0.8,0
9,ising,100,190,40,1,SCOPE_jit,1.0710515649989247,0.875,9
10,ising,100,190,40,1,SCOPE,11.50917027000105,0.875,9
11,ising,100,190,40,1,GraSP_jit,0.7287271860041074,0.775,21
12,ising,100,190,40,1,GraSP,19.528484875001595,0.775,21
13,ising,100,190,40,1,IHT_jit,0.4439010909991339,0.85,99
14,ising,100,190,40,1,IHT,3.5717944479984,0.85,99
15,ising,100,190,40,1,HTP_jit,0.4168113790001371,0.85,4
16,ising,100,190,40,1,HTP,3.926391776003584,0.85,4
17,ising,100,190,40,1,CVXPY,0.56636734699714,0.8,0
18,ising,100,190,40,2,SCOPE_jit,1.4410684559989022,0.775,14
19,ising,100,190,40,2,SCOPE,19.46469489500305,0.775,14
20,ising,100,190,40,2,GraSP_jit,2.4525092339972616,0.7,85
21,ising,100,190,40,2,GraSP,104.94310648300598,0.7,85
22,ising,100,190,40,2,IHT_jit,0.35451453999849036,0.825,6
23,ising,100,190,40,2,IHT,1.1975613520044135,0.825,6
24,ising,100,190,40,2,HTP_jit,0.6808633230029955,0.8,7
25,ising,100,190,40,2,HTP,8.334167158995115,0.8,7
26,ising,100,190,40,2,CVXPY,0.37077811399649363,0.775,0
27,ising,100,190,40,3,SCOPE_jit,1.4278035490060574,0.875,12
28,ising,100,190,40,3,SCOPE,16.34789796199766,0.85,9
29,ising,100,190,40,3,GraSP_jit,0.4622742389983614,0.8,9
30,ising,100,190,40,3,GraSP,13.138051371999609,0.8,9
31,ising,100,190,40,3,IHT_jit,0.31886439400113886,0.825,4
32,ising,100,190,40,3,IHT,1.5463213789989823,0.825,4
33,ising,100,190,40,3,HTP_jit,0.39166636699519586,0.825,4
34,ising,100,190,40,3,HTP,4.394846542003506,0.825,4
35,ising,100,190,40,3,CVXPY,0.3036858889972791,0.85,0
36,ising,100,190,40,4,SCOPE_jit,1.2267157649985165,0.75,13
37,ising,100,190,40,4,SCOPE,15.89099167400127,0.75,13
38,ising,100,190,40,4,GraSP_jit,0.4330933460005326,0.75,8
39,ising,100,190,40,4,GraSP,9.074420855999051,0.75,8
40,ising,100,190,40,4,IHT_jit,0.3286099010001635,0.85,4
41,ising,100,190,40,4,IHT,2.04492691699852,0.85,4
42,ising,100,190,40,4,HTP_jit,0.6491326239993214,0.75,10
43,ising,100,190,40,4,HTP,13.855249426000228,0.75,10
44,ising,100,190,40,4,CVXPY,0.577245895001397,0.875,0
45,ising,100,190,40,5,SCOPE_jit,1.7854758920002496,0.85,11
46,ising,100,190,40,5,SCOPE,29.458650749002118,0.85,12
47,ising,100,190,40,5,GraSP_jit,1.2276520710001932,0.75,20
48,ising,100,190,40,5,GraSP,24.300869600003352,0.75,20
49,ising,100,190,40,5,IHT_jit,0.4341651010036003,0.775,99
50,ising,100,190,40,5,IHT,3.271103414997924,0.775,99
51,ising,100,190,40,5,HTP_jit,0.30738564200146357,0.85,4
52,ising,100,190,40,5,HTP,3.5001060590002453,0.85,4
53,ising,100,190,40,5,CVXPY,0.26678103700396605,0.8,0
54,ising,100,190,40,6,SCOPE_jit,0.9625959009936196,0.775,9
55,ising,100,190,40,6,SCOPE,16.86345727499429,0.775,13
56,ising,100,190,40,6,GraSP_jit,0.9926356880023377,0.75,34
57,ising,100,190,40,6,GraSP,46.63551316100347,0.75,34
58,ising,100,190,40,6,IHT_jit,0.3813848899953882,0.825,7
59,ising,100,190,40,6,IHT,0.6861383899959037,0.825,7
60,ising,100,190,40,6,HTP_jit,0.33322526200208813,0.825,4
61,ising,100,190,40,6,HTP,4.143496217002394,0.825,4
62,ising,100,190,40,6,CVXPY,0.4809251850019791,0.8,0
63,ising,100,190,40,7,SCOPE_jit,1.0096552239992889,0.7,10
64,ising,100,190,40,7,SCOPE,11.449364733998664,0.75,10
65,ising,100,190,40,7,GraSP_jit,0.6494309400004568,0.725,18
66,ising,100,190,40,7,GraSP,20.06859682600043,0.725,18
67,ising,100,190,40,7,IHT_jit,0.2825168030030909,0.85,7
68,ising,100,190,40,7,IHT,1.6265437659967574,0.85,7
69,ising,100,190,40,7,HTP_jit,0.3785379710025154,0.8,5
70,ising,100,190,40,7,HTP,5.311567445998662,0.8,5
71,ising,100,190,40,7,CVXPY,0.41159966200211784,0.75,0
72,ising,100,190,40,8,SCOPE_jit,1.2816856169956736,0.75,11
73,ising,100,190,40,8,SCOPE,20.194298161994084,0.75,13
74,ising,100,190,40,8,GraSP_jit,0.8033779589968617,0.575,14
75,ising,100,190,40,8,GraSP,22.781946435003192,0.575,14
76,ising,100,190,40,8,IHT_jit,0.37211349599965615,0.775,6
77,ising,100,190,40,8,IHT,1.0998127659986494,0.775,6
78,ising,100,190,40,8,HTP_jit,0.3883358370003407,0.725,5
79,ising,100,190,40,8,HTP,4.563985983993916,0.725,5
80,ising,100,190,40,8,CVXPY,0.4036386359948665,0.675,0
81,ising,100,190,40,9,SCOPE_jit,0.9648615510013769,0.75,8
82,ising,100,190,40,9,SCOPE,17.13576041199849,0.75,11
83,ising,100,190,40,9,GraSP_jit,0.5402740409990656,0.75,12
84,ising,100,190,40,9,GraSP,16.2476919000037,0.75,12
