{'n': 50, 'k': 30, 'seed': 12430, 'Lasso_accuracy': 0.6333333333333333, 'Lasso_best_lambda': 37.5, 'Lasso_time': 34.19960331916809, 'GraHTP_accuracy': 0.6666666666666666, 'GraHTP_time': 0.029407978057861328, 'GraHTP_cv_accuracy': 0.6333333333333333, 'GraHTP_best_step_size': 0.01, 'GraHTP_cv_time': 0.2630589008331299, 'GraSP_accuracy': 0.6333333333333333, 'GraSP_time': 0.030504941940307617, 'SCOPE_accuracy': 0.6333333333333333, 'SCOPE_time': 0.6571743488311768}
{'n': 50, 'k': 30, 'seed': 12410, 'Lasso_accuracy': 0.7333333333333333, 'Lasso_best_lambda': 25.0, 'Lasso_time': 40.0104398727417, 'GraHTP_accuracy': 0.7333333333333333, 'GraHTP_time': 0.020650863647460938, 'GraHTP_cv_accuracy': 0.7, 'GraHTP_best_step_size': 0.01, 'GraHTP_cv_time': 0.13402104377746582, 'GraSP_accuracy': 0.6333333333333333, 'GraSP_time': 0.016333818435668945, 'SCOPE_accuracy': 0.7, 'SCOPE_time': 0.4001176357269287}
{'n': 50, 'k': 30, 'seed': 12480, 'Lasso_accuracy': 0.7, 'Lasso_best_lambda': 21.09375, 'Lasso_time': 41.51957058906555, 'GraHTP_accuracy': 0.6666666666666666, 'GraHTP_time': 0.024525880813598633, 'GraHTP_cv_accuracy': 0.7666666666666667, 'GraHTP_best_step_size': 0.01, 'GraHTP_cv_time': 0.20726752281188965, 'GraSP_accuracy': 0.6, 'GraSP_time': 0.01692676544189453, 'SCOPE_accuracy': 0.7333333333333333, 'SCOPE_time': 0.2894461154937744}
{'n': 50, 'k': 30, 'seed': 12460, 'Lasso_accuracy': 0.7666666666666667, 'Lasso_best_lambda': 29.00390625, 'Lasso_time': 43.82263660430908, 'GraHTP_accuracy': 0.7, 'GraHTP_time': 0.010425329208374023, 'GraHTP_cv_accuracy': 0.7333333333333333, 'GraHTP_best_step_size': 0.01, 'GraHTP_cv_time': 0.08031821250915527, 'GraSP_accuracy': 0.7333333333333333, 'GraSP_time': 0.0228579044342041, 'SCOPE_accuracy': 0.7333333333333333, 'SCOPE_time': 0.37588953971862793}
{'n': 50, 'k': 30, 'seed': 12490, 'Lasso_accuracy': 0.7, 'Lasso_best_lambda': 24.90234375, 'Lasso_time': 45.322949171066284, 'GraHTP_accuracy': 0.6666666666666666, 'GraHTP_time': 0.029412269592285156, 'GraHTP_cv_accuracy': 0.7, 'GraHTP_best_step_size': 0.005994842503189409, 'GraHTP_cv_time': 0.10328841209411621, 'GraSP_accuracy': 0.7, 'GraSP_time': 0.05251002311706543, 'SCOPE_accuracy': 0.6, 'SCOPE_time': 0.3729865550994873}
{'n': 50, 'k': 30, 'seed': 12420, 'Lasso_accuracy': 0.8, 'Lasso_best_lambda': 30.816650390625, 'Lasso_time': 47.95374321937561, 'GraHTP_accuracy': 0.7, 'GraHTP_time': 0.018890380859375, 'GraHTP_cv_accuracy': 0.8, 'GraHTP_best_step_size': 0.01, 'GraHTP_cv_time': 0.2067105770111084, 'GraSP_accuracy': 0.7, 'GraSP_time': 0.029208898544311523, 'SCOPE_accuracy': 0.7, 'SCOPE_time': 0.3625986576080322}
{'n': 50, 'k': 30, 'seed': 12470, 'Lasso_accuracy': 0.7333333333333333, 'Lasso_best_lambda': 30.816650390625, 'Lasso_time': 48.13903594017029, 'GraHTP_accuracy': 0.6, 'GraHTP_time': 0.027176380157470703, 'GraHTP_cv_accuracy': 0.7, 'GraHTP_best_step_size': 0.01, 'GraHTP_cv_time': 0.19868874549865723, 'GraSP_accuracy': 0.6333333333333333, 'GraSP_time': 0.024455547332763672, 'SCOPE_accuracy': 0.7, 'SCOPE_time': 0.3917198181152344}
{'n': 50, 'k': 30, 'seed': 12450, 'Lasso_accuracy': 0.7, 'Lasso_best_lambda': 26.5625, 'Lasso_time': 50.094502210617065, 'GraHTP_accuracy': 0.7333333333333333, 'GraHTP_time': 0.040514469146728516, 'GraHTP_cv_accuracy': 0.7, 'GraHTP_best_step_size': 0.01, 'GraHTP_cv_time': 0.3244171142578125, 'GraSP_accuracy': 0.6333333333333333, 'GraSP_time': 0.030269861221313477, 'SCOPE_accuracy': 0.5666666666666667, 'SCOPE_time': 0.5678787231445312}
{'n': 50, 'k': 30, 'seed': 12440, 'Lasso_accuracy': 0.7333333333333333, 'Lasso_best_lambda': 26.9775390625, 'Lasso_time': 50.605387687683105, 'GraHTP_accuracy': 0.7, 'GraHTP_time': 0.0639193058013916, 'GraHTP_cv_accuracy': 0.7333333333333333, 'GraHTP_best_step_size': 0.01, 'GraHTP_cv_time': 0.18989992141723633, 'GraSP_accuracy': 0.7, 'GraSP_time': 0.03975343704223633, 'SCOPE_accuracy': 0.6666666666666666, 'SCOPE_time': 0.7552144527435303}
{'n': 50, 'k': 30, 'seed': 12400, 'Lasso_accuracy': 0.7333333333333333, 'Lasso_best_lambda': 26.18408203125, 'Lasso_time': 65.47282361984253, 'GraHTP_accuracy': 0.7, 'GraHTP_time': 0.0709376335144043, 'GraHTP_cv_accuracy': 0.7, 'GraHTP_best_step_size': 0.01, 'GraHTP_cv_time': 0.2534191608428955, 'GraSP_accuracy': 0.6666666666666666, 'GraSP_time': 0.05988287925720215, 'SCOPE_accuracy': 0.6666666666666666, 'SCOPE_time': 0.31142449378967285}
{'n': 100, 'k': 30, 'seed': 12540, 'Lasso_accuracy': 0.7666666666666667, 'Lasso_best_lambda': 50.0, 'Lasso_time': 65.61967897415161, 'GraHTP_accuracy': 0.7666666666666667, 'GraHTP_time': 0.02978968620300293, 'GraHTP_cv_accuracy': 0.7666666666666667, 'GraHTP_best_step_size': 0.005994842503189409, 'GraHTP_cv_time': 0.5478808879852295, 'GraSP_accuracy': 0.7, 'GraSP_time': 0.027202844619750977, 'SCOPE_accuracy': 0.7666666666666667, 'SCOPE_time': 0.882361650466919}
