,n,seed,SCOPE_accuracy,SCOPE_time,GraHTP_accuracy,GraHTP_time,GraHTP_cv_accuracy,GraHTP_best_step_size,GraHTP_cv_time,GraSP_accuracy,GraSP_time,Lasso_accuracy,Lasso_best_lambda,Lasso_time
0,50,10000,0.22,0.13002681732177734,0.22,0.6355183124542236,0.22,0.000774263682681127,1.5161035060882568,0.22,0.46541309356689453,0.2,3.944304526105059e-26,96.94896245002747
1,50,10001,0.28,0.14480948448181152,0.28,0.06095695495605469,0.28,0.005994842503189409,5.6822896003723145,0.22,1.525273084640503,0.24,3.944304526105059e-26,61.76482629776001
2,50,10002,0.16,0.30452585220336914,0.16,0.3570425510406494,0.16,0.003593813663804626,3.3793370723724365,0.2,0.4066929817199707,0.16,3.944304526105059e-26,82.51881980895996
3,50,10003,0.24,0.8603332042694092,0.24,0.02258610725402832,0.24,0.0001668100537200059,1.2429678440093994,0.22,1.747293472290039,0.14,3.944304526105059e-26,118.77958607673645
4,50,10004,0.16,0.7455577850341797,0.16,0.15131425857543945,0.16,0.005994842503189409,3.4271552562713623,0.18,1.576505422592163,0.14,3.944304526105059e-26,66.13297772407532
5,50,10005,0.26,0.3248276710510254,0.26,0.39861369132995605,0.26,0.000774263682681127,2.9999887943267822,0.2,1.8755130767822266,0.18,3.944304526105059e-26,54.050474405288696
6,50,10006,0.26,0.17336559295654297,0.26,0.38612890243530273,0.26,0.01,1.4696094989776611,0.24,0.9473059177398682,0.16,3.944304526105059e-26,56.756272315979004
7,50,10007,,,,,,,,,,,,
8,50,10008,0.22,0.20276665687561035,0.22,0.13202667236328125,0.22,0.001291549665014884,2.173313617706299,0.18,0.8814761638641357,0.14,3.944304526105059e-26,52.17605423927307
9,50,10009,0.22,0.36257505416870117,0.22,0.15793323516845703,0.22,0.000774263682681127,1.1383471488952637,0.12,0.7365303039550781,0.16,3.944304526105059e-26,39.006163358688354
10,50,10010,0.14,0.0474095344543457,0.14,0.023935556411743164,0.14,0.00046415888336127773,0.20971393585205078,0.14,0.11276793479919434,0.12,3.944304526105059e-26,29.005369901657104
11,50,10011,0.26,0.3450624942779541,0.26,0.20041465759277344,0.26,0.00046415888336127773,3.0390830039978027,0.28,1.1183760166168213,0.24,3.944304526105059e-26,80.20837116241455
12,50,10012,0.24,0.0496366024017334,0.24,0.15279841423034668,0.24,0.003593813663804626,1.942852258682251,0.22,0.2670574188232422,0.24,3.944304526105059e-26,47.07223105430603
13,50,10013,0.16,0.3019711971282959,0.16,0.1040489673614502,0.16,0.0002782559402207126,0.8620109558105469,0.14,0.7485849857330322,0.16,3.944304526105059e-26,91.78466773033142
14,50,10014,0.2,0.07001471519470215,0.2,0.2000722885131836,0.2,0.00046415888336127773,0.45324087142944336,0.18,0.2427198886871338,0.2,3.944304526105059e-26,51.47181153297424
15,50,10015,,,,,,,,,,,,
