,n,seed,SCOPE_accuracy,SCOPE_time,GraHTP_accuracy,GraHTP_time,GraHTP_cv_accuracy,GraHTP_best_step_size,GraHTP_cv_time,GraSP_accuracy,GraSP_time,Lasso_accuracy,Lasso_best_lambda,Lasso_time
0,100,120,0.4,0.5507917404174805,0.3,0.030125856399536133,0.34,0.005994842503189409,0.7467734813690186,0.24,0.25977158546447754,0.38,13281.25,0.7173314094543457
1,200,121,0.56,0.3259289264678955,0.5,0.01427912712097168,0.56,0.002154434690031882,1.1343655586242676,0.48,0.05474996566772461,0.52,12500.0,4.118102788925171
2,300,122,0.76,1.0195887088775635,0.72,0.02897810935974121,0.76,0.002154434690031882,6.8717265129089355,0.62,0.07829833030700684,0.66,14501.953125,4.242778301239014
3,400,123,0.8,0.6768996715545654,0.74,0.02172374725341797,0.8,0.001291549665014884,22.730623722076416,0.64,0.02092909812927246,0.72,17006.8359375,7.540571212768555
4,500,124,0.86,2.336332082748413,0.82,0.09034967422485352,0.86,0.000774263682681127,8.957854986190796,0.82,0.044858455657958984,0.86,14062.5,5.120938539505005
5,600,125,0.86,13.477429151535034,0.88,0.1674811840057373,0.86,0.000774263682681127,6.290653944015503,0.76,0.016911745071411133,0.84,14501.953125,7.844003438949585
6,700,126,0.78,4.46732497215271,0.78,0.03182840347290039,0.78,0.000774263682681127,12.192351341247559,0.7,0.08744335174560547,0.78,8906.16774559021,19.90012764930725
7,800,127,0.9,4.792117595672607,0.9,0.7951200008392334,0.88,0.000774263682681127,17.992711782455444,0.78,0.03797483444213867,0.86,14672.340452671051,16.10599446296692
8,900,128,0.84,4.768656253814697,0.84,0.2066798210144043,0.82,0.00046415888336127773,16.02442455291748,0.72,0.07497692108154297,0.82,8964.84375,12.171597003936768
9,1000,129,0.82,9.532873153686523,0.82,0.19504046440124512,0.82,0.00046415888336127773,14.065634489059448,0.72,0.05733633041381836,0.84,8701.171875,14.602226257324219
10,1100,130,0.86,1.0141186714172363,0.86,4.354897737503052,0.86,0.00046415888336127773,24.201677083969116,0.82,0.029317855834960938,0.86,10726.316567243543,21.076309204101562
11,1200,131,0.86,11.45525050163269,0.88,1.5237715244293213,0.88,0.00046415888336127773,12.438664436340332,0.76,0.05878949165344238,0.86,9104.91943359375,16.319448471069336
12,1300,132,0.86,9.429276704788208,0.84,4.52736759185791,0.86,0.00046415888336127773,25.252761840820312,0.74,0.0387272834777832,0.86,8437.5,7.050042390823364
13,1400,133,0.86,4.770333766937256,0.88,1.250565528869629,0.86,0.0002782559402207126,8.130812168121338,0.76,0.02784872055053711,0.86,11250.0,3.7818520069122314
14,1500,134,0.9,2.799075126647949,0.9,4.103113889694214,0.9,0.0002782559402207126,27.77654504776001,0.86,0.03926801681518555,0.9,9558.677673339844,9.684416055679321
15,1600,135,0.94,4.013119697570801,0.94,7.9001922607421875,0.94,0.0002782559402207126,33.94680976867676,0.82,0.10540294647216797,0.92,9667.96875,4.104894638061523
16,1700,136,0.9,14.223883628845215,0.9,6.5994367599487305,0.9,0.0002782559402207126,33.7286376953125,0.76,0.03639554977416992,0.88,8964.84375,6.728025436401367
17,1800,137,0.96,1.1550703048706055,0.94,1.0382678508758545,0.96,0.0002782559402207126,17.345397233963013,0.84,0.04450058937072754,0.96,8701.171875,13.557188987731934
18,1900,138,0.92,12.790738105773926,0.9,3.098134756088257,0.92,0.0002782559402207126,18.949207305908203,0.84,0.041383981704711914,0.92,6250.0,5.834062814712524
19,2000,139,0.9,14.820210695266724,0.88,8.354990720748901,0.92,0.0002782559402207126,23.719290256500244,0.84,0.03803372383117676,0.9,7470.703125,7.265203237533569
20,100,120,0.4,0.5422134399414062,0.3,0.0302581787109375,0.34,0.005994842503189409,0.615271806716919,0.24,0.24386024475097656,0.38,13281.25,0.5974626541137695
21,200,121,0.56,8.405648708343506,0.5,0.788322925567627,0.56,0.002154434690031882,11.91019868850708,0.48,0.05206656455993652,0.52,12500.0,2.0441389083862305
22,300,122,0.76,10.785172462463379,0.72,0.11215615272521973,0.76,0.002154434690031882,7.816054105758667,0.62,0.05945754051208496,0.66,14501.953125,3.6008613109588623
23,400,123,0.8,0.5386509895324707,0.74,0.01966547966003418,0.8,0.001291549665014884,22.48341464996338,0.64,0.0503692626953125,0.72,17006.8359375,7.21014928817749
24,500,124,0.86,2.6153817176818848,0.82,0.040051937103271484,0.86,0.000774263682681127,8.068469762802124,0.82,0.035768985748291016,0.86,14062.5,5.030314207077026
25,600,125,0.86,2.277477741241455,0.88,0.028778076171875,0.86,0.000774263682681127,8.35729718208313,0.76,0.05265378952026367,0.84,14501.953125,12.535325050354004
26,700,126,0.78,11.193047761917114,0.78,0.024528980255126953,0.78,0.000774263682681127,25.20224404335022,0.7,0.07007193565368652,0.78,8906.16774559021,17.84473156929016
27,800,127,0.9,5.586148023605347,0.9,0.06554675102233887,0.88,0.000774263682681127,7.6581785678863525,0.78,0.031746625900268555,0.86,14672.340452671051,22.31867003440857
28,900,128,0.84,5.092333555221558,0.84,0.1489267349243164,0.82,0.00046415888336127773,17.28499722480774,0.72,0.07247591018676758,0.82,8964.84375,12.366456985473633
29,1000,129,0.82,13.827823162078857,0.82,0.23444247245788574,0.82,0.00046415888336127773,15.356712341308594,0.72,0.06473445892333984,0.84,8701.171875,11.38168454170227
30,1100,130,0.86,3.0840165615081787,0.86,4.193390130996704,0.86,0.00046415888336127773,11.87319827079773,0.82,0.0264737606048584,0.86,10726.316567243543,18.041919231414795
31,1200,131,0.86,4.878565788269043,0.88,3.4266932010650635,0.88,0.00046415888336127773,23.733123302459717,0.76,0.0478978157043457,0.86,9104.91943359375,20.872880935668945
32,1300,132,0.86,4.049962043762207,0.84,3.9303276538848877,0.86,0.00046415888336127773,29.10123634338379,0.74,0.12565350532531738,0.86,8437.5,6.053011894226074
33,1400,133,0.86,6.580821514129639,0.88,4.343550682067871,0.86,0.0002782559402207126,24.439308404922485,0.76,0.05278444290161133,0.86,11250.0,5.84827995300293
34,1500,134,0.9,4.793266534805298,0.9,5.1811842918396,0.9,0.0002782559402207126,25.466094255447388,0.86,0.048745155334472656,0.9,9558.677673339844,12.232030868530273
35,1600,135,0.94,4.865036725997925,0.94,6.287979602813721,0.94,0.0002782559402207126,23.873289585113525,0.82,0.044245004653930664,0.92,9667.96875,10.283277750015259
36,1700,136,0.9,12.771058797836304,0.9,7.299896240234375,0.9,0.0002782559402207126,31.819692134857178,0.76,0.04594564437866211,0.88,8964.84375,8.800915718078613
37,1800,137,0.96,2.34071946144104,0.94,5.591209650039673,0.96,0.0002782559402207126,22.450748682022095,0.84,0.05521035194396973,0.96,8701.171875,7.165406227111816
38,1900,138,0.92,13.482971906661987,0.9,8.208833694458008,0.92,0.0002782559402207126,29.072928428649902,0.84,0.0392153263092041,0.92,6250.0,3.609934091567993
39,2000,139,0.9,5.437615156173706,0.88,7.58101487159729,0.92,0.0002782559402207126,31.573318004608154,0.84,0.04270195960998535,0.9,7470.703125,18.646079540252686
