,n,p,k,seed,SCOPE_accuracy,SCOPE_time,GUROBI_accuracy,GUROBI_time
0,100,100,10,1,0.6,0.03213047981262207,0.7,10003.830876588821
1,100,100,10,2,0.7,0.01894688606262207,0.7,10003.436048746109
2,100,100,10,3,0.9,0.014446020126342773,0.9,10003.567497015
3,100,100,10,4,0.6,0.02178215980529785,0.4,10003.300438404083
4,100,100,10,5,0.9,0.024177074432373047,0.7,10003.249484539032
5,100,100,10,6,0.5,0.023834943771362305,0.5,10003.288659334183
6,100,100,10,7,0.7,0.019373178482055664,0.7,10003.006141424179
7,100,100,10,8,0.7,0.021379709243774414,0.7,10002.82348394394
8,100,100,10,9,0.8,0.0200808048248291,0.8,10002.935281038284
9,100,100,10,10,0.6,0.017620563507080078,0.6,10002.870614290237
10,100,100,10,11,0.8,0.014277935028076172,0.9,10002.790998220444
11,100,100,10,12,0.8,0.017756223678588867,0.9,10002.965908765793
12,100,100,10,13,0.5,0.0266726016998291,0.5,10002.797642946243
13,100,100,10,14,0.8,0.020905494689941406,0.8,10002.650614738464
14,100,100,10,15,0.8,0.03174543380737305,0.8,10002.636590003967
15,100,100,10,16,0.8,0.025107622146606445,0.8,10002.675864934921
16,100,100,10,17,0.6,0.01838970184326172,0.3,10002.689728975296
17,100,100,10,18,0.7,0.015434741973876953,0.7,10002.583321809769
18,100,100,10,19,1.0,0.019191503524780273,1.0,10002.976296663284
19,100,100,10,20,0.7,0.030092477798461914,0.5,10003.616588115692
20,100,100,10,21,0.8,0.02591562271118164,0.8,10003.203592538834
21,100,100,10,22,0.4,0.028960704803466797,0.4,10002.989066839218
22,100,100,10,23,0.6,0.02522110939025879,0.5,10002.863039016724
23,100,100,10,24,0.7,0.022018909454345703,0.7,10003.196697235107
24,100,100,10,25,0.8,0.0139007568359375,0.7,10002.702035427094
25,100,100,10,26,0.7,0.018915176391601562,0.6,10002.990446090698
26,100,100,10,27,0.5,0.022312164306640625,0.6,10003.015090227127
27,100,100,10,28,0.8,0.020862102508544922,0.8,10002.569551229477
28,100,100,10,29,0.8,0.017905235290527344,0.8,10002.833399534225
29,100,100,10,30,0.6,0.017759084701538086,0.6,10002.646176576614
30,100,100,10,31,0.6,0.01829242706298828,0.6,10002.933518886566
31,100,100,10,32,0.6,0.022371768951416016,0.6,10002.62697672844
32,100,100,10,33,0.8,0.026968955993652344,0.3,10002.766038656235
33,100,100,10,34,0.5,0.025896310806274414,0.5,10002.626104354858
34,100,100,10,35,0.5,0.013459205627441406,0.1,10002.526014089584
35,100,100,10,36,0.6,0.020227670669555664,0.6,10002.51320886612
36,100,100,10,37,0.7,0.020264625549316406,0.7,10002.629653930664
37,100,100,10,38,0.7,0.017510175704956055,0.7,10002.475279092789
38,100,100,10,39,0.9,0.026961088180541992,0.9,10002.877629995346
39,100,100,10,40,0.7,0.024948835372924805,0.6,10002.902701854706
40,100,100,10,41,0.5,0.023211956024169922,0.6,10002.836224079132
41,100,100,10,42,0.5,0.01688385009765625,0.5,10002.817445278168
42,100,100,10,43,0.9,0.019145965576171875,0.9,10002.762023448944
43,100,100,10,44,0.4,0.016948223114013672,0.4,10002.875943422318
44,100,100,10,45,0.5,0.013464212417602539,0.5,10002.697023630142
45,100,100,10,46,0.7,0.019664764404296875,0.9,10002.631564855576
46,100,100,10,47,0.9,0.01660299301147461,0.5,10002.798974514008
47,100,100,10,48,0.4,0.01807379722595215,0.6,10002.68046760559
48,100,100,10,49,0.6,0.017745256423950195,0.7,10002.566854953766
49,100,100,10,50,0.3,0.020281314849853516,0.5,10002.635474920273
50,100,100,10,51,0.3,0.0199127197265625,0.5,10002.616042375565
51,100,100,10,52,0.8,0.01979351043701172,0.8,10002.55472445488
52,100,100,10,53,0.7,0.023620128631591797,0.7,10002.740984201431
53,100,100,10,54,0.8,0.013305425643920898,0.8,10002.474837779999
54,100,100,10,55,0.8,0.02212047576904297,0.8,10002.488042116165
55,100,100,10,56,0.8,0.018917083740234375,0.8,10002.620516061783
56,100,100,10,57,0.7,0.011142253875732422,0.6,10002.51671552658
57,100,100,10,58,0.9,0.0208587646484375,0.7,10004.095900535583
58,100,100,10,59,0.4,0.024283885955810547,0.6,10003.054455518723
59,100,100,10,60,0.7,0.015065908432006836,0.7,10003.161917209625
60,100,100,10,61,0.5,0.018604755401611328,0.5,10002.99326634407
61,100,100,10,62,0.4,0.025960206985473633,0.3,10002.69510102272
62,100,100,10,63,0.5,0.020297527313232422,0.5,10002.690515995026
63,100,100,10,64,0.7,0.025873899459838867,0.9,10002.600995063782
64,100,100,10,65,0.7,0.017833709716796875,0.7,10002.602838039398
65,100,100,10,66,0.5,0.020390987396240234,0.6,10002.564034223557
66,100,100,10,67,0.7,0.024268150329589844,0.7,10002.665282011032
67,100,100,10,68,0.6,0.02143692970275879,0.4,10002.588783025742
68,100,100,10,69,0.7,0.02353954315185547,0.6,10002.648486852646
69,100,100,10,70,0.5,0.011716127395629883,0.5,10002.562523841858
70,100,100,10,71,0.6,0.020046472549438477,0.6,10002.490324735641
71,100,100,10,72,0.6,0.01851058006286621,0.6,10002.657752275467
72,100,100,10,73,0.7,0.019922733306884766,0.7,10002.75721168518
73,100,100,10,74,0.8,0.01999688148498535,0.9,10002.640412569046
74,100,100,10,75,0.7,0.019137859344482422,0.7,10002.59345984459
