n,k,seed,Lasso_accuracy,Lasso_best_lambda,Lasso_time,GraHTP_accuracy,GraHTP_time,GraHTP_cv_accuracy,GraHTP_best_step_size,GraHTP_cv_time,GraSP_accuracy,GraSP_time,SCOPE_accuracy,SCOPE_time
50,40,111,0.575,20.54443359375,24.49852728843689,0.55,0.03136014938354492,0.55,0.01,0.1142268180847168,0.45,0.020333290100097656,0.5,0.13796257972717285
50,40,112,0.625,23.62060546875,21.054028034210205,0.525,0.011845588684082031,0.65,0.01,0.10791349411010742,0.475,0.01612067222595215,0.625,0.3557407855987549
100,40,131,0.8,35.98451614379883,57.66830778121948,0.75,0.01276850700378418,0.775,0.01,0.1976606845855713,0.675,0.06130719184875488,0.8,0.5860540866851807
150,40,151,0.8,53.955078125,66.09979939460754,0.725,0.020781755447387695,0.9,0.005994842503189409,0.8004157543182373,0.65,0.022368907928466797,0.875,0.44463181495666504
50,40,113,0.65,23.98967742919922,24.40496563911438,0.6,0.012753963470458984,0.625,0.01,0.0985112190246582,0.625,0.019301176071166992,0.6,0.3234114646911621
200,40,171,0.8,75,78.7536129951477,0.825,0.02622199058532715,0.85,0.005994842503189409,2.547755718231201,0.825,0.018531084060668945,0.85,0.45730018615722656
100,40,132,0.875,32.7301025390625,44.622034788131714,0.8,0.015491485595703125,0.85,0.01,0.18317842483520508,0.8,0.015663862228393555,0.8,0.49842119216918945
50,40,114,0.65,19.888197482487158,34.704479932785034,0.575,0.012196779251098633,0.7,0.01,0.09002542495727539,0.5,0.022986173629760742,0.65,0.2644329071044922
150,40,152,0.875,51.5625,59.615777015686035,0.85,0.01755356788635254,0.875,0.005994842503189409,0.6904995441436768,0.775,0.06314969062805176,0.925,0.5102152824401855
50,40,115,0.6,20.946945995092392,29.011131048202515,0.575,0.028055906295776367,0.55,0.01,0.09482574462890625,0.55,0.018445253372192383,0.6,0.3181934356689453
100,40,133,0.725,38.671875,41.44182586669922,0.725,0.017277956008911133,0.8,0.01,0.44776439666748047,0.65,0.02766585350036621,0.775,0.526458740234375
50,40,116,0.675,21.7529296875,21.396658182144165,0.625,0.020544767379760742,0.6,0.01,0.12912654876708984,0.6,0.01697564125061035,0.625,0.2452244758605957
250,40,191,0.875,91.76051616668701,154.63569617271423,0.925,0.04658150672912598,0.95,0.005994842503189409,4.726476430892944,0.8,0.03280949592590332,0.95,1.1113364696502686
50,40,117,0.675,19.921875,19.307896614074707,0.65,0.017660856246948242,0.7,0.01,0.11318349838256836,0.675,0.021466493606567383,0.7,0.29312753677368164
150,40,153,0.875,50,50.07277727127075,0.875,0.02828240394592285,0.925,0.005994842503189409,0.8164956569671631,0.85,0.018060684204101562,0.95,0.47831177711486816
100,40,134,0.725,37.5,36.49650192260742,0.7,0.01704883575439453,0.725,0.01,0.22805500030517578,0.6,0.018305063247680664,0.7,0.6716663837432861
200,40,172,0.825,72.509765625,99.80968832969666,0.9,0.0363764762878418,0.925,0.005994842503189409,2.2665157318115234,0.8,0.0599827766418457,0.925,1.0762336254119873
50,40,118,0.6,23.157629370689392,30.82729434967041,0.625,0.017178773880004883,0.675,0.01,0.09723019599914551,0.55,0.020861148834228516,0.6,0.38442015647888184
50,40,119,0.7,18.12744140625,24.77997326850891,0.65,0.023154020309448242,0.7,0.005994842503189409,0.10564160346984863,0.675,0.018978595733642578,0.675,0.20059943199157715
100,40,135,0.75,52.47044563293457,52.88241100311279,0.625,0.022825956344604492,0.8,0.01,0.24410009384155273,0.65,0.017911672592163086,0.775,0.6011867523193359
150,40,154,0.925,54.78515625,66.29587697982788,0.875,0.018163442611694336,0.95,0.005994842503189409,0.7798693180084229,0.9,0.06345558166503906,0.95,0.4151804447174072
50,40,120,0.7,21.09375,20.462865352630615,0.65,0.016510486602783203,0.65,0.01,0.11967349052429199,0.575,0.019990205764770508,0.575,0.34207820892333984
50,40,121,0.6,17.578125,19.82876491546631,0.5,0.012405872344970703,0.525,0.01,0.10354137420654297,0.525,0.02736353874206543,0.5,0.27814602851867676
100,40,136,0.825,35.15625,40.71640920639038,0.75,0.015028953552246094,0.9,0.01,0.13464832305908203,0.725,0.04828047752380371,0.925,0.3447115421295166
250,40,192,0.875,94.482421875,118.44280648231506,0.925,0.03216886520385742,0.975,0.003593813663804626,5.905851125717163,0.75,0.031383514404296875,0.975,0.9497072696685791
200,40,173,0.85,71.96903228759766,110.31117105484009,0.875,0.03003072738647461,0.95,0.005994842503189409,2.668048143386841,0.7,0.020461559295654297,0.95,0.8932881355285645
50,40,122,0.8,22.412109375,21.940805196762085,0.75,0.008405447006225586,0.75,0.01,0.10239624977111816,0.65,0.039360761642456055,0.725,0.21567654609680176
100,40,137,0.85,35.15625,39.63940763473511,0.825,0.021015167236328125,0.825,0.01,0.18358564376831055,0.825,0.058630943298339844,0.85,0.31825852394104004
50,40,123,0.7,19.921875,19.720837831497192,0.625,0.015901803970336914,0.7,0.01,0.11613273620605469,0.6,0.012356042861938477,0.6,0.2790977954864502
150,40,155,0.85,53.5400390625,72.97426962852478,0.9,0.025037765502929688,0.95,0.005994842503189409,0.6982548236846924,0.9,0.064952850341796875,0.95,0.38397932052612305
50,40,124,0.75,19.3359375,23.750097036361694,0.65,0.019066572189331055,0.675,0.01,0.14432907104492188,0.7,0.016297578811645508,0.625,0.4708118438720703
100,40,138,0.825,39.84375,36.539355993270874,0.75,0.023812055587768555,0.8,0.01,0.20508742332458496,0.75,0.04220747947692871,0.8,0.4081258773803711
200,40,174,0.8,100,57.99096417427063,0.85,0.04102325439453125,0.9,0.005994842503189409,3.4010393619537354,0.725,0.09752249717712402,0.95,0.9718525409698486
50,40,125,0.65,21.590709686279297,27.838680744171143,0.625,0.017368078231811523,0.625,0.01,0.094593048095703125,0.575,0.011376142501831055,0.55,0.3033735752105713
250,40,193,0.875,93.75,87.57866978645325,0.825,0.06644034385681152,0.875,0.003593813663804626,4.169529438018799,0.75,0.08506321907043457,0.825,1.3570752143859863
100,40,139,0.7,53.125,36.58495759963989,0.65,0.022664546966552734,0.8,0.01,0.2706034183502197,0.625,0.021775245666503906,0.775,0.5013506412506104
150,40,156,0.725,60.2325439453125,74.33293676376343,0.75,0.02848339080810547,0.775,0.005994842503189409,1.0582525730133057,0.675,0.017432451248168945,0.8,0.8073697090148926
50,40,126,0.725,22.940129041671753,26.897754907608032,0.725,0.017249584197998047,0.725,0.01,0.12413191795349121,0.625,0.029618501663208008,0.675,0.27634549140930176
50,40,127,0.625,23.89669418334961,26.57586407661438,0.575,0.017513513565063477,0.65,0.01,0.11675333976745605,0.6,0.025072813034057617,0.625,0.3295719623565674
100,40,140,0.85,43.181419372558594,57.97983169555664,0.725,0.02248549461364746,0.85,0.01,0.17481350898742676,0.725,0.04861116409301758,0.875,0.34770774841308594
50,40,128,0.675,26.28636360168457,26.540565729141235,0.625,0.014458656311035156,0.65,0.01,0.1067204475402832,0.6,0.0217132568359375,0.625,0.25412583351135254
150,40,157,0.725,65.460205078125,67.59199070930481,0.725,0.04240918159484863,0.8,0.01,0.7400596141815186,0.55,0.05713152885437012,0.8,0.8278744220733643
