,n,seed,GraHTP_accuracy,GraHTP_time,GraHTP_cv_accuracy,GraHTP_cv_time,GraSP_accuracy,GraSP_time
0,50,111,0.55,3.075864315032959,0.55,32.70386075973511,0.425,3.0009913444519043
1,50,112,0.525,3.0785627365112305,0.65,29.379416465759277,0.5,2.2175486087799072
2,100,131,0.75,3.7113656997680664,0.775,64.11286735534668,0.675,2.8445398807525635
3,150,151,0.725,5.869190216064453,0.85,122.96050524711609,0.625,4.53414249420166
4,50,113,0.6,2.9260051250457764,0.625,25.27613592147827,0.625,2.2100706100463867
5,200,171,0.875,8.879593849182129,0.85,619.400468826294,0.825,5.031945705413818
6,100,132,0.8,4.054391860961914,0.85,46.30430722236633,0.8,8.68602180480957
7,50,114,0.575,1.9940357208251953,0.7,24.540323734283447,0.525,2.7977356910705566
8,150,152,0.85,4.638411045074463,0.875,181.42641282081604,0.775,12.55933928489685
9,50,115,0.575,3.212473154067993,0.55,24.149123430252075,0.55,2.1948060989379883
10,100,133,0.725,4.4896605014801025,0.8,125.60715842247009,0.675,5.121452808380127
11,50,116,0.625,3.6715564727783203,0.6,33.85099744796753,0.6,1.9104695320129395
12,250,191,0.9,12.949556827545166,0.925,1480.586996793747,0.775,18.65372371673584
13,50,117,0.65,4.9627251625061035,0.7,32.244043588638306,0.675,2.689178705215454
14,150,153,0.875,8.822994947433472,0.925,225.91312861442566,0.85,4.21050500869751
15,100,134,0.7,4.336572885513306,0.75,60.7795512676239,0.6,3.8811261653900146
16,200,172,0.85,7.895342826843262,0.925,620.2775278091431,0.775,14.87634801864624
17,50,118,0.625,3.466688632965088,0.675,23.57319140434265,0.55,2.1956875324249268
18,50,119,0.65,4.180382013320923,0.7,26.439058303833008,0.625,3.349942445755005
19,100,135,0.625,5.3322694301605225,0.775,60.607736349105835,0.625,3.4128875732421875
20,150,154,0.875,4.63920783996582,0.95,184.0597722530365,0.875,3.91603422164917
21,50,120,0.65,3.668841600418091,0.65,30.45008111000061,0.55,2.1091232299804688
22,50,121,0.5,2.3657915592193604,0.525,25.841116666793823,0.525,2.6706795692443848
23,100,136,0.75,3.0903899669647217,0.9,42.873539447784424,0.775,2.5586419105529785
24,250,192,0.925,11.973229169845581,0.975,1453.5692245960236,0.825,6.804701566696167
25,200,173,0.875,7.781691551208496,0.95,896.5171921253204,0.7,5.1388099193573
26,50,122,0.75,1.4994771480560303,0.75,28.894901752471924,0.65,5.143629312515259
27,100,137,0.825,4.927115201950073,0.825,57.20800471305847,0.825,5.983833312988281
28,50,123,0.625,2.2468204498291016,0.7,30.91917848587036,0.65,1.2796199321746826
29,150,155,0.9,5.694943904876709,0.95,186.86231565475464,0.875,11.820084571838379
30,50,124,0.65,3.9518444538116455,0.675,33.662325620651245,0.7,1.9327681064605713
31,100,138,0.75,5.211599349975586,0.8,68.93064284324646,0.725,2.8637783527374268
32,200,174,0.85,10.930410861968994,0.875,910.9106676578522,0.7,5.875277042388916
33,50,125,0.625,2.499258041381836,0.625,24.906173944473267,0.55,1.2765953540802002
34,250,193,0.825,12.033371448516846,0.8,1548.3938083648682,0.725,11.097597122192383
35,100,139,0.65,5.057204008102417,0.8,69.36401176452637,0.625,4.2074055671691895
36,150,156,0.75,6.816164970397949,0.85,228.23678636550903,0.75,12.073770523071289
37,50,126,0.725,3.3818893432617188,0.725,31.6086528301239,0.6,3.0666990280151367
38,50,127,0.575,3.408562660217285,0.65,27.27318787574768,0.575,2.705202341079712
39,100,140,0.725,3.883957624435425,0.85,66.00489282608032,0.725,2.365201711654663
40,50,128,0.625,2.1181228160858154,0.65,28.933471202850342,0.6,2.702101707458496
