,n,seed,IHT_accuracy,IHT_cv_accuracy,model
0,50,111,0.475,0.475,ising
1,50,112,0.5,0.6,ising
2,100,131,0.725,0.85,ising
3,150,151,0.65,0.85,ising
4,50,113,0.575,0.575,ising
5,200,171,0.825,0.85,ising
6,100,132,0.75,0.85,ising
7,50,114,0.55,0.675,ising
8,150,152,0.8,0.875,ising
9,50,115,0.575,0.575,ising
10,100,133,0.575,0.825,ising
11,50,116,0.625,0.675,ising
12,250,191,0.925,0.9,ising
13,50,117,0.625,0.725,ising
14,150,153,0.775,0.9,ising
15,100,134,0.575,0.575,ising
16,200,172,0.8,0.9,ising
17,50,118,0.575,0.725,ising
18,50,119,0.65,0.7,ising
19,100,135,0.55,0.775,ising
20,150,154,0.825,0.95,ising
21,50,120,0.5,0.65,ising
22,50,121,0.475,0.6,ising
23,100,136,0.75,0.875,ising
24,250,192,0.925,0.925,ising
25,200,173,0.85,0.9,ising
26,50,122,0.75,0.775,ising
27,100,137,0.725,0.875,ising
28,50,123,0.6,0.7,ising
29,150,155,0.875,0.95,ising
30,50,124,0.525,0.725,ising
31,100,138,0.65,0.85,ising
32,200,174,0.675,0.675,ising
33,50,125,0.575,0.675,ising
34,250,193,0.525,0.875,ising
35,100,139,0.65,0.75,ising
36,150,156,0.6,0.6,ising
37,50,126,0.625,0.75,ising
38,50,127,0.525,0.65,ising
39,100,140,0.675,0.95,ising
40,50,128,0.625,0.65,ising
41,150,157,0.625,0.8,ising
42,200,175,0.85,0.85,ising
43,50,129,0.575,0.65,ising
44,100,141,0.675,0.775,ising
45,50,130,0.625,0.75,ising
46,150,158,0.8,0.875,ising
47,250,194,0.8,0.825,ising
48,100,142,0.775,0.875,ising
49,200,176,0.65,0.9,ising
50,100,143,0.75,0.775,ising
51,150,159,0.8,0.9,ising
52,100,144,0.775,0.925,ising
53,200,177,0.875,0.925,ising
54,300,211,0.975,0.975,ising
55,250,195,0.95,0.925,ising
56,150,160,0.7,0.95,ising
57,100,145,0.675,0.875,ising
58,100,146,0.675,0.775,ising
59,200,178,0.925,0.975,ising
60,150,161,0.7,0.925,ising
61,250,196,0.975,0.95,ising
62,100,147,0.7,0.725,ising
63,300,212,0.9,0.9,ising
64,150,162,0.675,0.8,ising
65,200,179,0.8,0.8,ising
66,100,148,0.725,0.9,ising
67,150,163,0.75,0.875,ising
68,100,149,0.625,0.725,ising
69,250,197,0.9,0.875,ising
70,200,180,0.65,0.9,ising
71,100,150,0.575,0.75,ising
72,300,213,0.5,0.5,ising
73,150,164,0.725,0.7,ising
74,200,181,0.825,0.825,ising
75,150,165,0.775,0.85,ising
76,250,198,0.925,0.95,ising
77,200,182,0.7,0.85,ising
78,150,166,0.85,1.0,ising
79,350,231,0.95,0.95,ising
80,150,167,0.75,0.9,ising
81,250,199,0.8,0.875,ising
82,200,183,0.9,0.925,ising
83,300,215,0.9,0.9,ising
84,150,168,0.8,0.85,ising
85,350,232,1.0,0.975,ising
86,250,200,0.875,0.9,ising
87,150,169,0.65,0.725,ising
88,200,184,0.925,0.975,ising
89,300,216,0.95,0.975,ising
90,200,185,0.575,0.575,ising
91,150,170,0.8,0.9,ising
92,250,201,0.925,0.9,ising
93,350,233,0.95,0.95,ising
94,300,217,0.55,0.55,ising
95,200,186,0.85,0.875,ising
96,250,202,0.875,0.875,ising
97,350,234,1.0,1.0,ising
98,200,187,0.85,0.925,ising
99,300,219,0.65,0.65,ising
100,250,203,0.875,0.925,ising
101,200,188,0.85,0.95,ising
102,400,252,0.975,0.975,ising
103,350,235,0.9,0.9,ising
104,300,220,0.775,0.775,ising
105,200,189,0.85,0.875,ising
106,250,204,0.925,0.95,ising
107,350,236,0.875,0.85,ising
108,300,221,0.975,0.975,ising
109,250,205,0.9,0.9,ising
110,200,190,0.85,0.9,ising
111,400,253,1.0,1.0,ising
112,350,237,0.95,0.975,ising
113,250,206,0.825,0.875,ising
114,300,222,0.95,0.95,ising
115,250,207,0.8,0.8,ising
116,350,238,0.875,0.875,ising
117,400,254,0.975,0.925,ising
118,450,271,0.9,1.0,ising
119,300,223,0.925,0.925,ising
120,250,208,0.925,0.975,ising
121,350,239,0.975,0.975,ising
122,300,224,0.75,0.75,ising
123,250,209,0.975,1.0,ising
124,400,255,0.875,0.875,ising
125,450,272,1.0,1.0,ising
126,300,225,0.85,0.85,ising
127,250,210,0.95,0.975,ising
128,400,256,1.0,1.0,ising
129,300,226,1.0,1.0,ising
130,350,241,0.925,0.925,ising
131,450,273,0.975,0.975,ising
132,300,227,0.9,0.95,ising
133,500,291,1.0,1.0,ising
134,400,257,0.9,0.925,ising
135,350,242,0.975,0.975,ising
136,300,228,0.85,0.9,ising
137,450,274,1.0,1.0,ising
138,400,258,0.975,0.975,ising
139,350,243,0.925,0.95,ising
140,500,292,1.0,1.0,ising
141,300,229,0.95,0.95,ising
142,450,275,0.9,0.95,ising
143,350,244,1.0,1.0,ising
144,300,230,0.925,0.925,ising
145,350,245,1.0,1.0,ising
146,400,260,0.925,0.925,ising
147,450,276,0.975,0.975,ising
148,500,293,0.975,0.975,ising
149,400,261,0.925,0.975,ising
150,550,312,0.975,0.975,ising
151,350,247,1.0,1.0,ising
152,450,277,0.5,0.5,ising
153,400,262,0.925,0.95,ising
154,500,294,0.875,0.925,ising
155,350,248,0.95,0.9,ising
156,400,263,0.85,0.85,ising
157,450,278,0.925,1.0,ising
158,550,313,0.8,0.95,ising
159,500,295,1.0,1.0,ising
160,350,249,0.975,0.975,ising
161,400,264,0.975,0.975,ising
162,350,250,0.85,0.85,ising
163,550,314,0.9,1.0,ising
164,450,279,0.975,0.975,ising
165,500,296,1.0,0.975,ising
166,400,265,0.95,0.975,ising
167,450,280,0.95,0.9,ising
168,600,331,0.75,0.975,ising
169,550,315,1.0,1.0,ising
170,400,266,0.975,0.925,ising
171,500,297,1.0,0.975,ising
172,450,281,0.95,0.95,ising
173,550,316,0.675,0.6,ising
174,400,267,0.925,0.925,ising
175,500,298,0.975,0.975,ising
176,450,282,0.975,1.0,ising
177,400,268,0.95,0.95,ising
178,550,317,1.0,1.0,ising
179,500,299,0.725,0.95,ising
180,400,269,0.575,0.575,ising
181,450,283,0.85,0.95,ising
182,600,334,0.725,0.925,ising
183,400,270,0.65,0.9,ising
184,500,300,1.0,1.0,ising
185,550,318,0.75,0.975,ising
186,450,284,0.95,1.0,ising
187,600,335,0.95,0.975,ising
188,450,285,0.825,0.85,ising
189,650,351,0.775,1.0,ising
190,500,301,0.975,1.0,ising
191,550,319,0.775,0.975,ising
192,500,302,0.975,0.975,ising
193,450,286,0.975,0.975,ising
194,600,336,0.825,0.975,ising
195,650,352,0.85,0.975,ising
196,550,320,0.875,0.925,ising
197,500,303,0.975,0.95,ising
198,450,288,1.0,1.0,ising
199,600,337,0.85,0.95,ising
200,650,353,0.95,1.0,ising
201,500,304,0.925,0.925,ising
202,550,321,0.925,1.0,ising
203,450,289,0.975,0.925,ising
204,500,305,0.95,0.975,ising
205,650,354,0.725,0.975,ising
206,550,322,0.925,1.0,ising
207,600,338,0.95,1.0,ising
208,450,290,0.95,0.95,ising
209,500,306,0.85,0.95,ising
210,600,339,1.0,1.0,ising
211,500,307,0.9,0.925,ising
212,650,355,0.675,1.0,ising
213,700,371,0.725,0.95,ising
214,600,340,1.0,0.95,ising
215,500,308,0.825,0.95,ising
216,550,325,1.0,1.0,ising
217,650,356,0.75,1.0,ising
218,500,309,0.95,0.975,ising
219,550,326,0.8,0.9,ising
220,600,341,0.975,1.0,ising
221,700,373,0.75,1.0,ising
222,650,357,0.875,1.0,ising
223,500,310,0.9,0.975,ising
224,550,327,0.975,0.975,ising
225,600,342,0.725,0.975,ising
226,650,358,0.925,1.0,ising
227,750,391,0.75,1.0,ising
228,700,374,0.7,1.0,ising
229,600,343,0.9,1.0,ising
230,550,329,0.875,0.975,ising
231,650,359,0.675,1.0,ising
232,700,375,0.65,1.0,ising
233,600,344,1.0,1.0,ising
234,550,330,0.925,1.0,ising
235,750,393,0.8,1.0,ising
236,650,360,0.775,0.95,ising
237,700,376,1.0,1.0,ising
238,600,345,1.0,1.0,ising
239,800,411,0.675,0.975,ising
240,700,377,0.675,0.975,ising
241,650,362,0.675,0.975,ising
242,750,395,0.675,0.95,ising
243,600,347,0.925,1.0,ising
244,800,412,0.725,1.0,ising
245,700,378,0.575,1.0,ising
246,650,363,0.825,0.925,ising
247,750,396,0.725,1.0,ising
248,800,413,0.625,0.975,ising
249,700,379,0.65,0.975,ising
250,600,350,0.575,0.65,ising
251,650,365,0.65,0.95,ising
252,800,414,0.75,1.0,ising
253,750,397,0.625,1.0,ising
254,700,381,0.775,0.95,ising
255,850,431,0.775,1.0,ising
256,650,366,0.775,1.0,ising
257,800,415,0.75,1.0,ising
258,750,398,0.725,1.0,ising
259,700,382,0.7,1.0,ising
260,650,367,0.8,1.0,ising
261,800,416,0.575,0.975,ising
262,750,399,0.8,1.0,ising
263,650,368,0.8,0.95,ising
264,850,433,0.7,1.0,ising
265,700,383,0.9,1.0,ising
266,800,417,0.625,1.0,ising
267,750,400,0.625,1.0,ising
268,650,369,0.725,0.975,ising
269,700,384,0.725,0.925,ising
270,850,434,0.675,1.0,ising
271,800,418,0.775,0.975,ising
272,750,401,0.75,1.0,ising
273,650,370,0.7,0.925,ising
274,800,419,0.675,0.95,ising
275,750,402,0.825,0.95,ising
276,850,436,0.55,0.95,ising
277,700,387,0.825,0.975,ising
278,750,403,0.7,1.0,ising
279,900,452,0.625,1.0,ising
280,700,388,0.65,0.975,ising
281,800,421,0.8,0.975,ising
282,750,404,0.675,1.0,ising
283,700,389,0.825,0.975,ising
284,800,422,0.575,0.975,ising
285,850,439,0.65,0.95,ising
286,900,454,0.8,1.0,ising
287,750,406,0.7,0.925,ising
288,850,440,0.625,0.925,ising
289,950,471,0.65,1.0,ising
290,900,455,0.75,1.0,ising
291,800,424,0.725,1.0,ising
292,750,408,0.7,0.975,ising
293,950,472,0.65,1.0,ising
294,750,409,0.725,0.975,ising
295,800,426,0.725,1.0,ising
296,900,457,0.7,1.0,ising
297,950,473,0.725,1.0,ising
298,750,410,0.6,0.9,ising
299,850,444,0.6,1.0,ising
300,900,458,0.625,1.0,ising
301,950,474,0.675,1.0,ising
302,1000,491,0.675,1.0,ising
303,800,428,0.675,1.0,ising
304,950,475,0.625,0.825,ising
305,850,446,0.7,1.0,ising
306,900,460,0.7,0.95,ising
307,800,429,0.75,1.0,ising
308,950,476,0.45,0.625,ising
309,850,447,0.725,0.975,ising
310,800,430,0.725,0.975,ising
311,1000,493,0.725,1.0,ising
312,850,448,0.525,1.0,ising
313,900,463,0.625,1.0,ising
314,950,478,0.725,0.975,ising
315,850,449,0.7,1.0,ising
316,1000,495,0.65,1.0,ising
317,900,464,0.7,1.0,ising
318,850,450,0.625,0.95,ising
319,1000,496,0.75,1.0,ising
320,900,466,0.45,0.45,ising
321,950,481,0.7,1.0,ising
322,1000,497,0.6,0.975,ising
323,950,482,0.675,0.975,ising
324,900,468,0.625,0.975,ising
325,950,483,0.7,1.0,ising
326,1000,499,0.625,0.975,ising
327,900,469,0.725,1.0,ising
328,950,484,0.6,0.975,ising
329,900,470,0.6,1.0,ising
330,950,485,0.625,1.0,ising
331,1000,502,0.675,1.0,ising
332,950,486,0.525,0.875,ising
333,50,1110,0.65,0.7,ising
334,100,1190,0.625,0.625,ising
335,50,1111,0.525,0.525,ising
336,50,1112,0.6,0.725,ising
337,150,1270,0.8,0.9,ising
338,200,1350,0.8,0.85,ising
339,100,1191,0.6,0.825,ising
340,50,1113,0.7,0.7,ising
341,250,1430,0.95,0.975,ising
342,50,1114,0.6,0.6,ising
343,100,1192,0.575,0.575,ising
344,150,1271,0.825,0.85,ising
345,50,1115,0.6,0.675,ising
346,200,1351,0.725,0.8,ising
347,50,1116,0.6,0.7,ising
348,100,1193,0.6,0.825,ising
349,50,1117,0.6,0.725,ising
