,n,seed,IHT_accuracy,IHT_cv_accuracy,model
0,50,10000,0.26,0.26,linear
1,50,10001,0.3,0.3,linear
2,50,10002,0.16,0.14,linear
3,50,10003,0.22,0.22,linear
4,50,10004,0.14,0.14,linear
5,50,10005,0.22,0.26,linear
6,50,10006,0.28,0.3,linear
7,50,10007,0.24,0.24,linear
8,50,10008,0.2,0.22,linear
9,50,10009,0.22,0.22,linear
10,50,10010,0.12,0.12,linear
11,50,10011,0.26,0.26,linear
12,50,10012,0.22,0.22,linear
13,50,10013,0.16,0.16,linear
14,50,10014,0.2,0.2,linear
15,50,10015,0.2,0.16,linear
16,50,10016,0.16,0.16,linear
17,50,10017,0.24,0.26,linear
18,50,10018,0.22,0.22,linear
19,50,10019,0.16,0.16,linear
20,50,10020,0.26,0.24,linear
21,50,10021,0.18,0.2,linear
22,50,10022,0.22,0.22,linear
23,50,10023,0.26,0.26,linear
24,50,10024,0.3,0.24,linear
25,50,10025,0.22,0.22,linear
26,50,10026,0.18,0.16,linear
27,50,10027,0.14,0.14,linear
28,50,10028,0.3,0.3,linear
29,50,10029,0.24,0.2,linear
30,50,10030,0.2,0.18,linear
31,50,10031,0.22,0.2,linear
32,50,10032,0.14,0.12,linear
33,50,10033,0.24,0.22,linear
34,50,10034,0.24,0.24,linear
35,50,10035,0.28,0.28,linear
36,50,10036,0.22,0.22,linear
37,50,10037,0.26,0.24,linear
38,50,10038,0.26,0.28,linear
39,50,10039,0.16,0.12,linear
40,50,10040,0.22,0.22,linear
41,50,10041,0.16,0.14,linear
42,50,10042,0.18,0.18,linear
43,50,10043,0.18,0.18,linear
44,50,10044,0.22,0.22,linear
45,50,10045,0.22,0.22,linear
46,50,10046,0.2,0.2,linear
47,50,10047,0.2,0.18,linear
48,50,10048,0.22,0.18,linear
49,50,10049,0.2,0.18,linear
50,50,10050,0.18,0.18,linear
51,50,10051,0.12,0.16,linear
52,50,10052,0.22,0.24,linear
53,50,10053,0.24,0.24,linear
54,50,10054,0.22,0.22,linear
55,50,10055,0.22,0.22,linear
56,50,10056,0.2,0.2,linear
57,50,10057,0.16,0.18,linear
58,50,10058,0.22,0.22,linear
59,50,10059,0.28,0.28,linear
60,50,10060,0.24,0.24,linear
61,50,10061,0.24,0.24,linear
62,50,10062,0.14,0.12,linear
63,50,10063,0.22,0.2,linear
64,50,10064,0.2,0.2,linear
65,50,10065,0.18,0.2,linear
66,50,10066,0.24,0.24,linear
67,50,10067,0.18,0.16,linear
68,50,10068,0.18,0.18,linear
69,50,10069,0.16,0.16,linear
70,50,10070,0.2,0.2,linear
71,50,10071,0.3,0.3,linear
72,50,10072,0.24,0.24,linear
73,50,10073,0.16,0.16,linear
74,50,10074,0.26,0.26,linear
75,50,10075,0.3,0.3,linear
76,50,10076,0.2,0.2,linear
77,50,10077,0.28,0.28,linear
78,50,10078,0.12,0.12,linear
79,50,10079,0.16,0.2,linear
80,50,10080,0.22,0.22,linear
81,50,10081,0.18,0.16,linear
82,50,10082,0.18,0.18,linear
83,50,10083,0.22,0.24,linear
