n,seed,Lasso_accuracy,Lasso_best_lambda,Lasso_time,GraHTP_accuracy,GraHTP_time,GraHTP_cv_accuracy,GraHTP_best_step_size,GraHTP_cv_time,GraSP_accuracy,GraSP_time,SCOPE_accuracy,SCOPE_time
250,511,0.5,9.765625e-5,29.198354959487915,0.42,0.10203051567077637,0.42,0.01,0.1670231819152832,0.36,0.14703750610351562,0.42,0.33728861808776855
250,481,0.46,7.324218750000001e-5,18.72338843345642,0.44,0.11232733726501465,0.44,7.74263682681127e-4,0.4437289237976074,0.34,0.17023682594299316,0.44,0.25165653228759766
200,361,0.34,1.8310546875000003e-5,19.016186475753784,0.32,0.11372780799865723,0.32,0.005994842503189409,1.1585094928741455,0.26,0.48792147636413574,0.3,0.9431416988372803
200,451,0.32,4.577636718750001e-5,27.722022533416748,0.34,0.09760022163391113,0.32,0.01,0.27535009384155273,0.36,0.1091766357421875,0.34,0.18438005447387695
150,241,0.34,4.053115844726563e-7,35.490325927734375,0.36,0.10944223403930664,0.36,0.002154434690031882,0.23995661735534668,0.28,0.35860657691955566,0.36,0.20560622215270996
250,541,0.42,6.103515625e-5,41.434831380844116,0.44,0.07745122909545898,0.42,0.003593813663804626,0.5188894271850586,0.36,0.5265729427337646,0.4,1.1500787734985352
200,421,0.54,3.6621093750000005e-5,47.499199867248535,0.46,0.15330266952514648,0.46,0.002154434690031882,1.9570682048797607,0.38,1.1404681205749512,0.46,0.7893874645233154
150,331,0.26,8.58306884765625e-7,53.87228226661682,0.28,0.0857703685760498,0.28,0.01,0.7432548999786377,0.22,0.6766729354858398,0.3,0.7384791374206543
150,301,0.32,1.71661376953125e-6,53.07652735710144,0.32,0.13475966453552246,0.32,0.003593813663804626,1.1053879261016846,0.22,0.9317018985748291,0.28,0.8088381290435791
250,571,0.54,6.103515625e-6,51.54576659202576,0.52,0.3004622459411621,0.52,0.002154434690031882,3.1180672645568848,0.36,1.2636144161224365,0.48,2.0344631671905518
