,n,seed,GraHTP_accuracy,GraHTP_time,GraHTP_cv_accuracy,GraHTP_cv_time,GraSP_accuracy,GraSP_time
0,250,511,0.42,5.64107871055603,0.42,52.786592960357666,0.36,28.196484804153442
1,250,481,0.44,5.034373044967651,0.44,82.36721086502075,0.34,41.694664001464844
2,200,361,0.32,5.719004154205322,0.32,51.69057512283325,0.26,13.273549318313599
3,200,451,0.34,0.777928352355957,0.34,72.46674728393555,0.36,13.14656662940979
4,150,241,0.36,2.9815995693206787,0.36,46.486053705215454,0.28,7.408880710601807
5,250,541,0.44,3.582613945007324,0.42,40.01764488220215,0.34,7.063516616821289
6,200,421,0.46,14.36475396156311,0.46,47.107521772384644,0.38,7.275562286376953
7,150,331,0.28,6.630709886550903,0.28,49.22755408287048,0.22,14.280655860900879
8,150,301,0.32,2.909256935119629,0.32,40.56532573699951,0.22,2.317265272140503
9,250,571,0.52,6.405102729797363,0.52,86.00660991668701,0.36,26.293185710906982
10,250,482,0.4,3.823462724685669,0.42,48.27379822731018,0.42,11.825047731399536
11,250,512,0.5,5.863160133361816,0.5,45.66686940193176,0.38,11.537354946136475
12,200,452,0.4,3.57279896736145,0.4,68.05953931808472,0.42,23.185438632965088
13,150,242,0.42,1.6895251274108887,0.42,30.718666315078735,0.32,7.6820502281188965
14,250,542,0.54,6.013996839523315,0.52,82.6853358745575,0.4,5.100811243057251
15,50,61,0.2,5.894942998886108,0.2,20.92362952232361,0.2,5.4658708572387695
16,250,483,0.4,2.1901230812072754,0.4,73.4812319278717,0.36,5.477801561355591
17,200,391,0.44,5.64740514755249,0.44,34.473010301589966,0.34,10.676511526107788
18,100,121,0.2,2.2677743434906006,0.2,29.13574242591858,0.16,7.359007120132446
19,150,332,0.36,5.744380474090576,0.36,44.725428342819214,0.32,10.865829229354858
20,200,362,0.44,6.588592052459717,0.44,69.21850967407227,0.34,16.12385869026184
21,50,91,0.16,2.0236775875091553,0.16,18.37034797668457,0.16,4.071695327758789
22,200,453,0.36,12.706618309020996,0.36,49.61311912536621,0.3,9.638820886611938
23,50,31,0.26,1.066016674041748,0.26,26.47808003425598,0.26,6.769249677658081
24,250,543,0.44,2.924612522125244,0.46,37.92413640022278,0.52,9.451571702957153
25,250,484,0.5,5.185881614685059,0.5,83.94181275367737,0.42,12.285513877868652
26,250,572,0.54,15.57671070098877,0.54,61.81883931159973,0.4,18.79199767112732
27,150,302,0.34,8.813270568847656,0.34,48.56818246841431,0.3,10.90725040435791
28,200,422,0.36,4.655340671539307,0.36,83.06654024124146,0.28,16.57821536064148
29,50,1,0.14,1.1196463108062744,0.14,21.858323574066162,0.18,0.9535677433013916
30,150,243,0.36,11.335218906402588,0.36,46.24942183494568,0.3,19.180299043655396
31,200,392,0.44,11.924385786056519,0.44,104.67645478248596,0.28,28.132310390472412
32,250,514,0.52,13.84924054145813,0.52,107.28705310821533,0.44,9.375854015350342
33,200,363,0.38,8.661897420883179,0.38,65.17147207260132,0.3,25.882411241531372
34,100,181,0.28,4.73970627784729,0.28,30.005295515060425,0.36,9.888331651687622
35,100,151,0.26,4.742146015167236,0.26,32.38007664680481,0.2,5.3775646686553955
36,250,485,0.46,2.9704222679138184,0.44,81.98620271682739,0.32,8.22972846031189
37,200,454,0.46,4.854333162307739,0.46,76.29062366485596,0.36,19.950372219085693
38,150,333,0.32,5.629533290863037,0.32,29.620087146759033,0.3,5.319270610809326
39,200,364,0.46,4.746374607086182,0.46,63.778846979141235,0.28,5.256874084472656
40,200,423,0.42,6.120541095733643,0.42,46.86819410324097,0.3,2.3000218868255615
41,150,244,0.38,2.6274633407592773,0.38,42.46467328071594,0.24,9.710123538970947
42,250,544,0.42,12.596656322479248,0.42,65.63236665725708,0.34,4.966203451156616
43,150,334,0.28,3.3769261837005615,0.28,57.72346520423889,0.22,19.670541286468506
44,250,515,0.46,7.32888388633728,0.46,75.40600800514221,0.4,25.82894492149353
45,250,573,0.46,17.35511541366577,0.44,68.827139377594,0.38,10.244165897369385
46,100,212,0.3,1.6188738346099854,0.3,28.977309942245483,0.32,7.990563154220581
47,50,62,0.14,0.6875269412994385,0.14,35.78823924064636,0.14,6.680429458618164
48,200,365,0.32,5.899046182632446,0.32,21.966264963150024,0.28,5.410971641540527
49,200,455,0.5,2.276764392852783,0.5,39.72131824493408,0.4,10.881806135177612
50,100,122,0.26,0.1061255931854248,0.26,17.62283730506897,0.36,13.430033445358276
51,200,424,0.44,2.060847759246826,0.44,58.952414751052856,0.34,10.433273315429688
52,50,32,0.18,1.272881031036377,0.18,26.067672729492188,0.14,8.288161039352417
53,250,574,0.32,7.907044172286987,0.36,62.89368677139282,0.36,5.977940797805786
54,250,545,0.54,5.0879456996917725,0.54,101.81081032752991,0.34,16.26075005531311
55,250,516,0.46,6.292347192764282,0.46,101.03550410270691,0.38,20.51224684715271
56,50,92,0.2,1.080533504486084,0.2,26.833763599395752,0.2,7.9711527824401855
57,200,366,0.38,12.147985458374023,0.38,71.6746916770935,0.36,14.080528736114502
58,200,456,0.44,1.910362720489502,0.44,67.12667393684387,0.32,13.971579790115356
59,150,245,0.38,3.8538882732391357,0.38,35.208484411239624,0.24,10.283772945404053
60,250,575,0.44,4.605230093002319,0.44,85.60737991333008,0.38,27.950400590896606
61,150,271,0.34,5.516247510910034,0.34,69.24686670303345,0.34,4.879598379135132
62,50,2,0.18,3.5662872791290283,0.18,21.860782623291016,0.16,4.667808771133423
63,150,246,0.34,0.9328131675720215,0.34,58.61807990074158,0.24,10.045274257659912
64,200,457,0.48,13.048591375350952,0.48,102.93598008155823,0.36,12.376140832901001
65,50,63,0.16,0.09221029281616211,0.16,22.579717874526978,0.16,6.919522285461426
66,250,517,0.52,5.212503910064697,0.5,72.22662281990051,0.4,24.50064706802368
67,150,303,0.32,5.330656051635742,0.32,29.2633113861084,0.26,14.716922283172607
68,100,123,0.24,1.4799141883850098,0.24,42.92024827003479,0.24,10.236433744430542
69,150,247,0.28,4.617986440658569,0.28,59.73288106918335,0.26,14.980645656585693
70,250,546,0.46,8.372936010360718,0.48,76.1332368850708,0.42,4.73375391960144
71,200,367,0.44,6.856137037277222,0.44,54.73536920547485,0.34,11.690211057662964
72,250,576,0.52,2.8691606521606445,0.5,72.80368971824646,0.38,35.176589250564575
73,150,272,0.36,4.059014320373535,0.36,54.3057382106781,0.3,15.641502380371094
74,200,425,0.36,8.70640754699707,0.36,47.26067519187927,0.22,20.22534155845642
75,100,152,0.24,11.049198627471924,0.24,49.77735114097595,0.2,12.495736122131348
76,250,518,0.44,6.2414209842681885,0.44,46.23180341720581,0.28,38.91962432861328
77,200,458,0.36,7.51213526725769,0.36,114.36171460151672,0.24,9.220198154449463
78,50,93,0.2,1.6384077072143555,0.2,33.86085486412048,0.2,11.184566020965576
79,150,248,0.28,13.120146989822388,0.28,49.92013740539551,0.2,9.647291660308838
80,150,304,0.36,5.038286209106445,0.36,36.9252290725708,0.22,9.618531465530396
81,200,369,0.42,3.411644458770752,0.42,79.14340496063232,0.36,14.199971199035645
82,250,577,0.44,2.449125051498413,0.44,121.03785467147827,0.34,14.758706092834473
83,50,33,0.18,5.12145733833313,0.18,22.858158826828003,0.18,6.018583059310913
84,50,64,0.2,1.87160325050354,0.2,30.859923839569092,0.2,7.391067981719971
85,200,426,0.48,3.2541627883911133,0.48,64.80597686767578,0.38,22.436765670776367
86,100,213,0.24,2.66367769241333,0.24,39.427725076675415,0.24,4.981197118759155
87,150,273,0.34,2.312333583831787,0.34,31.72058129310608,0.34,5.549684524536133
88,100,182,0.3,2.15861439704895,0.3,37.282331466674805,0.24,10.617975950241089
89,150,249,0.4,2.4872913360595703,0.4,44.65664076805115,0.32,18.3095281124115
90,200,370,0.5,13.398175954818726,0.5,76.2658166885376,0.42,7.739823579788208
91,200,427,0.44,3.0526480674743652,0.44,52.27341938018799,0.38,28.228954315185547
92,200,459,0.42,2.609412670135498,0.42,40.736247062683105,0.44,5.914154291152954
93,250,578,0.5,7.6143012046813965,0.5,53.81307005882263,0.42,14.61460256576538
94,100,124,0.4,3.0578246116638184,0.4,35.38258075714111,0.4,7.353123903274536
95,50,3,0.16,3.7442078590393066,0.16,25.360403060913086,0.16,2.065471649169922
96,150,250,0.36,1.463155746459961,0.36,39.93943691253662,0.34,6.5707128047943115
97,150,305,0.28,1.7982192039489746,0.28,36.657907009124756,0.26,11.980910539627075
98,250,519,0.44,9.785830974578857,0.44,53.843533515930176,0.36,23.592292308807373
99,200,371,0.38,6.2551350593566895,0.38,46.71135067939758,0.28,10.149798154830933
100,250,547,0.4,19.3363995552063,0.4,93.5501115322113,0.44,24.238917350769043
101,200,460,0.42,9.425949573516846,0.42,70.2244758605957,0.34,12.922544240951538
102,200,428,0.44,3.395263433456421,0.44,74.61504101753235,0.34,15.186513900756836
103,50,65,0.14,2.1565680503845215,0.14,19.382615327835083,0.14,5.918023586273193
104,150,274,0.3,6.7997918128967285,0.3,32.67719793319702,0.32,8.612196922302246
105,150,335,0.38,10.673613786697388,0.38,41.2856388092041,0.26,10.818397760391235
